day_index,date,label,portfolio_value,daily_pnl,cumulative_pnl,net_pnl,transaction_costs,num_trades,dv01,dv01_pre_hedge,dv01_post_hedge,convexity,modified_duration,rate,short_rate,long_rate,spread
0,2025-11-29 19:49:18.297268,Cumulative hike: +10bps,171967309.29198986,-1210912.4922314286,-1210912.4922314286,-1210912.4922314286,0.0,1,2.2912318414455513,61282.291231841446,2.2912318414455513,3293467423.1894116,3.563601214913929,0.047,0.047,0.047,0.0
1,2025-11-30 19:49:18.297268,Cumulative hike: +20bps,170771142.7834472,-1196166.508542657,-2407079.0007740855,-2407079.0007740855,0.0,1,29.67234505523811,60589.67234505524,29.67234505523811,3243499338.34863,3.548004150905535,0.049,0.049,0.049,0.0
2,2025-12-01 19:49:18.297268,Cumulative hike: +30bps,169589499.78486222,-1181642.9985849857,-3588721.9993590713,-3588721.9993590713,0.0,1,-12.476056010913453,59907.52394398909,-12.476056010913453,3194414268.547618,3.5325019544244514,0.051000000000000004,0.051000000000000004,0.051000000000000004,0.0
3,2025-12-02 19:49:18.297268,Cumulative hike: +40bps,168422161.76597345,-1167338.0188887715,-4756060.018247843,-4756060.018247843,0.0,1,35.661136995462584,59235.66113699546,35.661136995462584,3146195124.9264517,3.517094218236244,0.053000000000000005,0.053000000000000005,0.053000000000000005,0.0
4,2025-12-03 19:49:18.297268,Cumulative hike: +50bps,167268914.06327283,-1153247.702700615,-5909307.720948458,-5909307.720948458,0.0,1,13.902617859908787,58573.90261785991,13.902617859908787,3098825169.219943,3.501780527833352,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.0
5,2025-12-04 19:49:18.297268,Cumulative hike: +60bps,166129545.804879,-1139368.258393824,-7048675.979342282,-7048675.979342282,0.0,1,2.070591916439298,57922.07059191644,2.070591916439298,3052288006.263838,3.4865604616740806,0.05700000000000001,0.05700000000000001,0.05700000000000001,0.0
6,2025-12-05 19:49:18.297268,Cumulative hike: +70bps,165003849.83696517,-1125695.9679138362,-8174371.947256118,-8174371.947256118,0.0,1,-0.00929624866694212,57279.99070375133,-0.00929624866694212,3006567576.666299,3.471433591419096,0.05900000000000001,0.05900000000000001,0.05900000000000001,0.0
7,2025-12-06 19:49:18.297268,Cumulative hike: +80bps,163891622.65170825,-1112227.1852569282,-9286599.132513046,-9286599.132513046,0.0,1,7.491966459652758,56647.49196645965,7.491966459652758,2961648149.640876,3.456399482165309,0.06100000000000001,0.06100000000000001,0.06100000000000001,0.0
8,2025-12-07 19:49:18.297268,Cumulative hike: +90bps,162792664.31672654,-1098958.3349817097,-10385557.467494756,-10385557.467494756,0.0,1,24.40669242032891,56024.40669242033,24.40669242032891,2917514315.9973593,3.441457692677124,0.06300000000000001,0.06300000000000001,0.06300000000000001,0.0
9,2025-12-08 19:49:18.297268,Cumulative hike: +100bps,161706778.40597346,-1085885.9107530713,-11471443.378247827,-11471443.378247827,0.0,1,-29.42957444404601,55410.570425555954,-29.42957444404601,2874150981.286916,3.4266077756149937,0.06500000000000002,0.06500000000000002,0.06500000000000002,0.0
