day_index,date,rate,short_rate,long_rate,spread
0,2026-01-08 14:08:21.783288,0.047,0.047,0.047,0.0
1,2026-01-09 14:08:21.783288,0.049,0.049,0.049,0.0
2,2026-01-10 14:08:21.783288,0.051000000000000004,0.051000000000000004,0.051000000000000004,0.0
3,2026-01-11 14:08:21.783288,0.053000000000000005,0.053000000000000005,0.053000000000000005,0.0
4,2026-01-12 14:08:21.783288,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.0
5,2026-01-13 14:08:21.783288,0.05700000000000001,0.05700000000000001,0.05700000000000001,0.0
6,2026-01-14 14:08:21.783288,0.05900000000000001,0.05900000000000001,0.05900000000000001,0.0
7,2026-01-15 14:08:21.783288,0.06100000000000001,0.06100000000000001,0.06100000000000001,0.0
8,2026-01-16 14:08:21.783288,0.06300000000000001,0.06300000000000001,0.06300000000000001,0.0
9,2026-01-17 14:08:21.783288,0.06500000000000002,0.06500000000000002,0.06500000000000002,0.0
