date,spot
2023-05-04,6733.969
2023-05-05,6653.653
2023-05-08,6702.5
2023-05-09,6611.637
2023-05-10,6627.311
2023-05-11,6622.521
2023-05-12,6535.944
2023-05-15,6585.91
2023-05-16,6516.289
2023-05-17,6554.98
2023-05-18,6583.738
2023-05-19,6602.317
2023-05-22,6595.984
2023-05-23,6528.453
2023-05-24,6513.182
2023-05-25,6501.0
2023-05-26,6546.408
2023-05-29,6534.117
2023-05-30,6564.469
2023-05-31,6561.649
2023-06-01,6574.758
2023-06-02,6626.279
2023-06-05,6632.956
2023-06-06,6489.811
2023-06-07,6488.557
2023-06-08,6442.482
2023-06-09,6495.564
2023-06-12,6530.161
2023-06-13,6554.957
2023-06-14,6578.123
2023-06-15,6613.955
2023-06-16,6669.005
2023-06-19,6693.299
2023-06-20,6693.915
2023-06-21,6548.407
2023-06-26,6420.973
2023-06-27,6507.273
2023-06-28,6475.505
2023-06-29,6520.039
2023-06-30,6602.037
2023-07-03,6612.884
2023-07-04,6638.447
2023-07-05,6584.423
2023-07-06,6567.079
2023-07-07,6521.427
2023-07-10,6526.852
2023-07-11,6579.37
2023-07-12,6482.987
2023-07-13,6548.313
2023-07-14,6544.459
2023-07-17,6516.56
2023-07-18,6510.034
2023-07-19,6492.349
2023-07-20,6408.76
2023-07-21,6401.417
2023-07-24,6393.794
2023-07-25,6498.269
2023-07-26,6457.254
2023-07-27,6407.546
2023-07-28,6465.376
2023-07-31,6515.849
2023-08-01,6507.412
2023-08-02,6496.022
2023-08-03,6499.545
2023-08-04,6535.322
2023-08-07,6503.983
2023-08-08,6471.344
2023-08-09,6420.977
2023-08-10,6426.814
2023-08-11,6304.635
2023-08-14,6319.407
2023-08-15,6261.733
2023-08-16,6186.403
2023-08-17,6247.601
2023-08-18,6117.107
2023-08-21,6057.171
2023-08-22,6099.195
2023-08-23,5973.671
2023-08-24,5987.966
2023-08-25,5879.027
2023-08-28,5922.162
2023-08-29,6108.759
2023-08-30,6139.627
2023-08-31,6104.295
2023-09-01,6107.2
2023-09-04,6198.762
2023-09-05,6167.642
2023-09-06,6195.383
2023-09-07,6083.489
2023-09-08,6102.488
2023-09-11,6182.643
2023-09-12,6184.606
2023-09-13,6103.137
2023-09-14,6068.713
2023-09-15,6079.063
2023-09-18,6083.969
2023-09-19,6031.042
2023-09-20,5982.558
2023-09-21,5939.664
2023-09-22,6054.928
2023-09-25,6027.394
2023-09-26,5996.11
2023-09-27,6034.061
2023-09-28,6078.945
2023-10-09,6059.965
2023-10-10,6043.482
2023-10-11,6059.401
2023-10-12,6104.456
2023-10-13,6081.866
2023-10-16,6024.359
2023-10-17,6011.37
2023-10-18,5908.008
2023-10-19,5842.892
2023-10-20,5774.32
2023-10-23,5638.136
2023-10-24,5719.323
2023-10-25,5778.905
2023-10-26,5811.692
2023-10-27,5916.678
2023-10-30,6006.559
2023-10-31,5969.341
2023-11-01,5958.418
2023-11-02,5885.247
2023-11-03,5973.167
2023-11-06,6096.57
2023-11-07,6116.757
2023-11-08,6138.938
2023-11-09,6100.693
2023-11-10,6088.558
2023-11-13,6144.635
2023-11-14,6181.98
2023-11-15,6207.268
2023-11-16,6145.151
2023-11-17,6199.228
2023-11-20,6253.276
2023-11-21,6212.125
2023-11-22,6132.97
2023-11-23,6197.526
2023-11-24,6115.407
2023-11-27,6111.364
2023-11-28,6143.302
2023-11-29,6113.366
2023-11-30,6080.547
2023-12-01,6130.051
2023-12-04,6114.393
2023-12-05,5992.6
2023-12-06,6023.804
2023-12-07,6020.83
2023-12-08,6003.144
2023-12-11,6075.08
2023-12-12,6078.99
2023-12-13,6019.553
2023-12-14,5991.862
2023-12-15,5951.6
2023-12-18,5857.005
2023-12-19,5863.542
2023-12-20,5761.312
2023-12-21,5798.912
2023-12-22,5733.909
2023-12-25,5735.726
2023-12-26,5651.588
2023-12-27,5696.161
2023-12-28,5805.527
2023-12-29,5887.235
2024-01-02,5854.749
2024-01-03,5824.043
2024-01-04,5783.016
2024-01-05,5675.809
2024-01-08,5543.575
2024-01-09,5553.304
2024-01-10,5512.069
2024-01-11,5611.115
2024-01-12,5574.493
2024-01-15,5559.376
2024-01-16,5539.474
2024-01-17,5389.122
2024-01-18,5373.424
2024-01-19,5306.986
2024-01-22,5000.834
2024-01-23,5079.632
2024-01-24,5143.408
2024-01-25,5316.195
2024-01-26,5269.765
2024-01-29,5131.247
2024-01-30,4984.66
2024-01-31,4785.032
2024-02-01,4750.444
2024-02-02,4574.669
2024-02-05,4293.07
2024-02-06,4592.444
2024-02-07,4797.846
2024-02-08,4993.105
2024-02-19,5029.586
2024-02-20,5046.012
2024-02-21,5073.482
2024-02-22,5151.534
2024-02-23,5225.67
2024-02-26,5255.396
2024-02-27,5394.034
2024-02-28,5152.052
2024-02-29,5344.605
2024-03-01,5401.939
2024-03-04,5428.336
2024-03-05,5375.132
2024-03-06,5381.459
2024-03-07,5303.277
2024-03-08,5370.372
2024-03-11,5466.646
2024-03-12,5496.355
2024-03-13,5521.784
2024-03-14,5486.646
2024-03-15,5555.644
2024-03-18,5648.012
2024-03-19,5607.475
2024-03-20,5659.154
2024-03-21,5658.279
2024-03-22,5595.885
2024-03-25,5466.062
2024-03-26,5447.748
2024-03-27,5266.231
2024-03-28,5382.236
2024-03-29,5441.26
2024-04-01,5559.056
2024-04-02,5531.052
2024-04-03,5500.926
2024-04-08,5399.915
2024-04-09,5468.911
2024-04-10,5367.052
2024-04-11,5379.915
2024-04-12,5338.769
2024-04-15,5287.512
2024-04-16,5066.66
2024-04-17,5287.456
2024-04-18,5286.719
2024-04-19,5264.389
2024-04-22,5246.082
2024-04-23,5218.428
2024-04-24,5305.607
2024-04-25,5313.986
2024-04-26,5415.938
2024-04-29,5545.235
2024-04-30,5497.43
2024-05-06,5606.842
2024-05-07,5625.336
2024-05-08,5536.659
2024-05-09,5626.825
2024-05-10,5574.232
2024-05-13,5520.804
2024-05-14,5551.675
2024-05-15,5497.235
2024-05-16,5488.946
2024-05-17,5563.231
2024-05-20,5596.777
2024-05-21,5536.745
2024-05-22,5539.66
2024-05-23,5412.824
2024-05-24,5350.107
2024-05-27,5404.616
2024-05-28,5348.029
2024-05-29,5351.252
2024-05-30,5334.296
2024-05-31,5355.21
2024-06-03,5284.624
2024-06-04,5313.708
2024-06-05,5244.085
2024-06-06,5130.869
2024-06-07,5153.587
2024-06-11,5198.923
2024-06-12,5216.462
2024-06-13,5180.236
2024-06-14,5180.651
2024-06-17,5183.968
2024-06-18,5227.254
2024-06-19,5159.995
2024-06-20,5056.138
2024-06-21,5055.333
2024-06-24,4887.777
2024-06-25,4847.611
2024-06-26,4986.384
2024-06-27,4864.086
2024-06-28,4895.987
2024-07-01,4940.247
2024-07-02,4905.65
2024-07-03,4867.133
2024-07-04,4761.868
2024-07-05,4810.794
2024-07-08,4693.965
2024-07-09,4797.063
2024-07-10,4777.682
2024-07-11,4893.594
2024-07-12,4878.02
2024-07-15,4827.602
2024-07-16,4836.718
2024-07-17,4795.624
2024-07-18,4812.426
2024-07-19,4821.423
2024-07-22,4826.871
2024-07-23,4694.953
2024-07-24,4631.011
2024-07-25,4632.567
2024-07-26,4702.08
2024-07-29,4685.646
2024-07-30,4702.491
2024-07-31,4889.081
2024-08-01,4878.289
2024-08-02,4809.889
2024-08-05,4678.775
2024-08-06,4749.947
2024-08-07,4743.41
2024-08-08,4739.493
2024-08-09,4702.745
2024-08-12,4674.102
2024-08-13,4697.586
2024-08-14,4649.278
2024-08-15,4691.85
2024-08-16,4655.651
2024-08-19,4663.612
2024-08-20,4579.304
2024-08-21,4548.264
2024-08-22,4491.839
2024-08-23,4495.344
2024-08-26,4512.893
2024-08-27,4459.68
2024-08-28,4470.55
2024-08-29,4542.464
2024-08-30,4629.32
2024-09-02,4532.515
2024-09-03,4572.397
2024-09-04,4550.77
2024-09-05,4586.781
2024-09-06,4508.228
2024-09-09,4475.532
2024-09-10,4487.576
2024-09-11,4486.007
2024-09-12,4468.744
2024-09-13,4413.187
2024-09-18,4399.133
2024-09-19,4482.275
2024-09-20,4463.356
2024-09-23,4469.133
2024-09-24,4642.558
2024-09-25,4686.258
2024-09-26,4874.132
2024-09-27,5136.441
2024-09-30,5708.826
2024-10-08,6201.985
2024-10-09,5727.38
2024-10-10,5654.53
2024-10-11,5416.758
2024-10-14,5615.756
2024-10-15,5507.176
2024-10-16,5524.255
2024-10-17,5505.615
2024-10-18,5749.434
2024-10-21,5860.571
2024-10-22,5888.815
2024-10-23,5903.578
2024-10-24,5861.632
2024-10-25,5974.909
2024-10-28,6082.088
2024-10-29,5983.836
2024-10-30,6019.347
2024-10-31,6116.663
2024-11-01,5930.232
2024-11-04,6053.112
2024-11-05,6266.542
2024-11-06,6293.193
2024-11-07,6403.918
2024-11-08,6423.122
2024-11-11,6579.005
2024-11-12,6491.972
2024-11-13,6474.394
2024-11-14,6272.191
2024-11-15,6125.513
2024-11-18,5974.558
2024-11-19,6130.285
2024-11-20,6250.803
2024-11-21,6262.164
2024-11-22,6030.488
2024-11-25,6052.129
2024-11-26,5981.57
2024-11-27,6118.664
2024-11-28,6086.085
2024-11-29,6189.128
2024-12-02,6313.608
2024-12-03,6303.276
2024-12-04,6204.945
2024-12-05,6285.601
2024-12-06,6349.621
2024-12-09,6303.272
2024-12-10,6362.02
2024-12-11,6447.374
2024-12-12,6490.146
2024-12-13,6354.988
2024-12-16,6277.516
2024-12-17,6143.944
2024-12-18,6195.868
2024-12-19,6207.186
2024-12-20,6271.753
2024-12-23,6096.381
2024-12-24,6164.361
2024-12-25,6094.687
2024-12-26,6160.452
2024-12-27,6171.565
2024-12-30,6145.928
2024-12-31,5957.717
2025-01-02,5797.089
2025-01-03,5625.209
2025-01-06,5608.034
2025-01-07,5692.041
2025-01-08,5661.779
2025-01-09,5672.78
2025-01-10,5544.916
2025-01-13,5559.473
2025-01-14,5811.055
2025-01-15,5775.571
2025-01-16,5801.305
2025-01-17,5841.572
2025-01-20,5879.15
2025-01-21,5908.023
2025-01-22,5855.739
2025-01-23,5829.033
2025-01-24,5938.13
2025-01-27,5846.069
2025-02-05,5881.437
2025-02-06,6041.834
2025-02-07,6134.055
2025-02-10,6210.547
2025-02-11,6190.174
2025-02-12,6284.611
2025-02-13,6212.497
2025-02-14,6248.835
2025-02-17,6281.566
2025-02-18,6142.138
2025-02-19,6288.529
2025-02-20,6334.414
2025-02-21,6449.228
2025-02-24,6464.024
2025-02-25,6435.428
2025-02-26,6524.406
2025-02-27,6499.53
2025-02-28,6270.419
2025-03-03,6273.67
2025-03-04,6357.628
2025-03-05,6398.237
2025-03-06,6534.971
2025-03-07,6507.765
2025-03-10,6520.973
2025-03-11,6551.734
2025-03-12,6566.968
2025-03-13,6466.851
2025-03-14,6571.171
2025-03-17,6589.566
2025-03-18,6611.926
2025-03-19,6564.677
2025-03-20,6535.062
2025-03-21,6405.611
2025-03-24,6360.341
2025-03-25,6310.764
2025-03-26,6334.908
2025-03-27,6328.767
2025-03-28,6268.321
2025-03-31,6226.649
2025-04-01,6259.484
2025-04-02,6277.253
2025-04-03,6203.257
2025-04-07,5496.443
2025-04-08,5530.019
2025-04-09,5652.33
2025-04-10,5784.585
2025-04-11,5862.188
2025-04-14,5938.526
2025-04-15,5914.029
2025-04-16,5835.348
2025-04-17,5839.564
2025-04-18,5831.687
2025-04-21,5952.637
2025-04-22,5949.312
2025-04-23,5984.583
2025-04-24,5920.478
2025-04-25,5939.502
2025-04-28,5877.057
2025-04-29,5903.381
2025-04-30,5950.117
2025-05-06,6102.922
2025-05-07,6111.495
2025-05-08,6158.077
2025-05-09,6082.082
2025-05-12,6167.461
2025-05-13,6151.01
2025-05-14,6160.37
2025-05-15,6057.036
2025-05-16,6068.117
2025-05-19,6095.337
2025-05-20,6146.017
2025-05-21,6132.181
2025-05-22,6066.103
2025-05-23,5989.675
2025-05-26,6028.786
2025-05-27,6008.46
2025-05-28,5984.456
2025-05-29,6089.578
2025-05-30,6026.56
2025-06-03,6070.037
2025-06-04,6123.172
2025-06-05,6167.015
2025-06-06,6152.845
2025-06-09,6218.964
2025-06-10,6161.692
2025-06-11,6186.512
2025-06-12,6192.22
2025-06-13,6106.008
2025-06-16,6147.46
2025-06-17,6141.468
2025-06-18,6135.386
2025-06-19,6048.224
2025-06-20,5999.591
2025-06-23,6078.222
2025-06-24,6194.666
2025-06-25,6276.163
2025-06-26,6247.791
2025-06-27,6276.937
2025-06-30,6356.181
2025-07-01,6373.768
2025-07-02,6309.484
2025-07-03,6342.638
2025-07-04,6312.197
2025-07-07,6327.139
2025-07-08,6407.698
2025-07-09,6390.466
2025-07-10,6406.568
2025-07-11,6461.1
2025-07-14,6462.305
2025-07-15,6442.834
2025-07-16,6462.063
2025-07-17,6535.671
2025-07-18,6552.074
2025-07-21,6612.259
2025-07-22,6637.104
2025-07-23,6607.22
2025-07-24,6701.12
2025-07-25,6706.61
2025-07-28,6729.979
2025-07-29,6773.884
2025-07-30,6718.482
2025-07-31,6661.186
2025-08-01,6670.472
2025-08-04,6739.694
2025-08-05,6787.481
2025-08-06,6861.309
2025-08-07,6862.15
2025-08-08,6838.13
2025-08-11,6943.937
2025-08-12,6963.611
2025-08-13,7064.334
2025-08-14,6976.488
2025-08-15,7117.501
2025-08-18,7237.602
2025-08-19,7242.849
2025-08-20,7305.461
2025-08-21,7253.343
2025-08-22,7362.94
2025-08-25,7477.728
2025-08-26,7476.467
2025-08-27,7336.504
2025-08-28,7447.11
2025-08-29,7438.677
2025-09-01,7501.148
2025-09-02,7313.882
2025-09-03,7206.876
2025-09-04,7041.154
2025-09-05,7245.667
2025-09-08,7311.034
2025-09-09,7226.028
2025-09-10,7230.168
2025-09-11,7399.885
2025-09-12,7422.884
2025-09-15,7415.571
2025-09-16,7483.628
2025-09-17,7554.813
2025-09-18,7476.402
2025-09-19,7438.189
2025-09-22,7489.478
2025-09-23,7408.069
2025-09-24,7534.222
2025-09-25,7506.512
2025-09-26,7397.589
2025-09-29,7497.831
2025-09-30,7574.963
2025-10-09,7648.052
2025-10-10,7533.82
2025-10-13,7519.764
2025-10-14,7373.152
2025-10-15,7483.449
2025-10-16,7401.838
2025-10-17,7185.478
2025-10-20,7239.185
2025-10-21,7344.047
2025-10-22,7312.21
2025-10-23,7308.099
2025-10-24,7419.235
2025-10-27,7495.383
2025-10-28,7479.221
2025-10-29,7569.117
2025-10-30,7485.085
2025-10-31,7506.675
2025-11-03,7538.118
2025-11-04,7435.731
2025-11-05,7464.863
2025-11-06,7551.83
2025-11-07,7541.878
2025-11-10,7563.254
2025-11-11,7540.791
2025-11-12,7486.377
2025-11-13,7590.576
2025-11-14,7502.757
2025-11-17,7523.076
2025-11-18,7448.101
2025-11-19,7387.208
2025-11-20,7340.412
2025-11-21,7067.703
2025-11-24,7156.409
2025-11-25,7249.947
2025-11-26,7248.449
2025-11-27,7257.454
2025-11-28,7334.21
2025-12-01,7386.681
2025-12-02,7313.178
2025-12-03,7248.274
2025-12-04,7248.657
2025-12-05,7342.492
2025-12-08,7423.046
2025-12-09,7380.584
2025-12-10,7408.244
2025-12-11,7311.995
2025-12-12,7370.942
2025-12-15,7309.078
2025-12-16,7181.62
2025-12-17,7288.738
2025-12-18,7272.402
2025-12-19,7329.806
2025-12-22,7408.349
2025-12-23,7392.42
2025-12-24,7506.381
2025-12-25,7579.379
2025-12-26,7605.53
2025-12-29,7594.158
2025-12-30,7597.299
2025-12-31,7595.285
2026-01-05,7753.88
2026-01-06,7864.903
2026-01-07,7906.42
2026-01-08,7971.589
2026-01-09,8129.183
2026-01-12,8357.011
2026-01-13,8203.133
2026-01-14,8257.172
2026-01-15,8240.775
2026-01-16,8232.729
2026-01-19,8265.646
2026-01-20,8182.752
2026-01-21,8247.68
2026-01-22,8309.346
2026-01-23,8470.744
2026-01-26,8365.435
2026-01-27,8382.153
2026-01-28,8399.794
2026-01-29,8332.207
2026-01-30,8254.86
2026-02-02,7975.428
2026-02-03,8209.101
2026-02-04,8207.12
2026-02-05,8068.077
2026-02-06,8051.574
2026-02-09,8233.778
2026-02-10,8250.3
2026-02-11,8239.513
2026-02-12,8314.832
2026-02-13,8204.829
2026-02-24,8299.771
2026-02-25,8426.331
2026-02-26,8490.617
2026-02-27,8560.843
2026-03-02,8476.965
2026-03-03,8142.454
2026-03-04,8094.518
2026-03-05,8171.119
2026-03-06,8248.857
2026-03-09,8203.869
2026-03-10,8350.09
2026-03-11,8363.526
2026-03-12,8335.908
2026-03-13,8214.293
2026-03-16,8211.352
2026-03-17,8019.857
2026-03-18,8096.595
2026-03-19,7909.234
2026-03-20,7783.435
2026-03-23,7409.107
2026-03-24,7600.857
2026-03-25,7751.181
2026-03-26,7639.376
2026-03-27,7746.313
2026-03-30,7767.93
2026-03-31,7619.85
2026-04-01,7764.153
2026-04-02,7623.417
2026-04-03,7536.6
2026-04-07,7606.017
2026-04-08,7955.768
2026-04-09,7921.447
2026-04-10,7998.232
2026-04-13,8025.572
2026-04-14,8144.762
2026-04-15,8106.165
2026-04-16,8232.983
2026-04-17,8307.436
2026-04-20,8357.814
2026-04-21,8351.156
2026-04-22,8481.24
2026-04-23,8362.74
2026-04-24,8304.141
2026-04-27,8338.726
2026-04-28,8226.692
2026-04-29,8343.065
