date,price,delta,gamma,product_delta,product_gamma,product_position_delta,product_position_gamma,pre_hedge_contracts,post_hedge_contracts,futures_multiplier,pre_hedge_futures_delta,post_hedge_futures_delta,pre_hedge_delta,post_hedge_delta,pre_hedge_gamma,post_hedge_gamma,pre_hedge_delta_cash_1pct,post_hedge_delta_cash_1pct,pre_hedge_gamma_cash_1pct,post_hedge_gamma_cash_1pct,delta_cash_1pct,gamma_cash_1pct,vega,theta,rho,dividend_sensitivity,basis_sensitivity
2023-05-04,-1.4224497135728598e-09,684.7507220836425,-0.10168605082344784,684.7507220836425,-0.10168605082344784,-684.7507220836425,0.10168605082344784,0.0,3.0,200.0,0.0,600.0,-684.7507220836425,-84.75072208364247,0.10168605082344784,0.10168605082344784,-46110.90135238864,-5707.0873523886385,46110.90080652502,46110.90080652502,-5707.0873523886385,46110.90080652502,,,,,
2023-05-05,65610.76738444631,592.201142422929,-0.08672251623299415,592.201142422929,-0.08672251623299415,-592.201142422929,0.08672251623299415,3.0,3.0,200.0,600.0,600.0,7.798857577070976,7.798857577070976,0.08672251623299415,0.08672251623299415,532.5597848513785,532.5597848513785,40439.579279336605,40439.579279336605,532.5597848513785,40439.579279336605,,,,,
2023-05-08,127318.76230962583,497.05802809748604,-0.07180897284954184,497.05802809748604,-0.07180897284954184,-497.05802809748604,0.07180897284954184,3.0,2.0,200.0,600.0,400.0,102.94197190251396,-97.05802809748604,0.07180897284954184,0.07180897284954184,7125.590766739448,-6718.307178964141,34406.104299705476,34406.104299705476,-6718.307178964141,34406.104299705476,,,,,
2023-05-09,172881.99763875935,406.1833967218762,-0.05792424414230924,406.1833967218762,-0.05792424414230924,-406.1833967218762,0.05792424414230924,2.0,2.0,200.0,400.0,400.0,-6.183396721876193,-6.183396721876193,0.05792424414230924,0.05792424414230924,-433.59963284868917,-433.59963284868917,28482.884197728705,28482.884197728705,-433.59963284868917,28482.884197728705,,,,,
2023-05-10,203422.184049173,263.7634563547951,-0.037157891784532354,263.7634563547951,-0.037157891784532354,-263.7634563547951,0.037157891784532354,2.0,1.0,200.0,400.0,200.0,136.2365436452049,-63.763456354795096,0.037157891784532354,0.037157891784532354,9670.68427388592,-4526.217695487108,18723.120883805674,18723.120883805674,-4526.217695487108,18723.120883805674,,,,,
2023-05-11,229507.22364664535,195.1292735503046,-0.027180238571488928,195.1292735503046,-0.027180238571488928,-195.1292735503046,0.027180238571488928,1.0,1.0,200.0,200.0,200.0,4.870726449695411,4.870726449695411,0.027180238571488928,0.027180238571488928,349.6736972029063,349.6736972029063,14008.50265054032,14008.50265054032,349.6736972029063,14008.50265054032,,,,,
2023-05-12,245314.15635098837,189.62377322254943,-0.02614377959265841,189.62377322254943,-0.02614377959265841,-189.62377322254943,0.02614377959265841,1.0,1.0,200.0,200.0,200.0,10.376226777450569,10.376226777450569,0.02614377959265841,0.02614377959265841,752.5993651820205,752.5993651820205,13753.624371020123,13753.624371020123,752.5993651820205,13753.624371020123,,,,,
2023-05-15,263282.51800332486,118.08436325653996,-0.01613269025963756,118.08436325653996,-0.01613269025963756,-118.08436325653996,0.01613269025963756,1.0,1.0,200.0,200.0,200.0,81.91563674346004,81.91563674346004,0.01613269025963756,0.01613269025963756,5995.871896079444,5995.871896079444,8643.265697173774,8643.265697173774,5995.871896079444,8643.265697173774,,,,,
2023-05-16,270582.43287106504,75.76075773602373,-0.010268904612257376,75.76075773602373,-0.010268904612257376,-75.76075773602373,0.010268904612257376,1.0,0.0,200.0,200.0,0.0,124.23924226397627,-75.76075773602373,0.010268904612257376,0.010268904612257376,9165.981418949834,-5589.390960856691,5589.3908138386905,5589.3908138386905,-5589.390960856691,5589.3908138386905,,,,,
2023-05-17,274796.82383679156,47.175870068883924,-0.006352036749239459,47.175870068883924,-0.006352036749239459,-47.175870068883924,0.006352036749239459,0.0,0.0,200.0,0.0,0.0,-47.175870068883924,-47.175870068883924,0.006352036749239459,0.006352036749239459,-3503.7007143982923,-3503.7007143982923,3503.7020570598543,3503.7020570598543,-3503.7007143982923,3503.7020570598543,,,,,
2023-05-18,278581.0448905922,39.177562144830816,-0.005246880533574919,39.177562144830816,-0.005246880533574919,-39.177562144830816,0.005246880533574919,0.0,0.0,200.0,0.0,0.0,-39.177562144830816,-39.177562144830816,0.005246880533574919,0.005246880533574919,-2925.3217515099095,-2925.3217515099095,2925.3217508085067,2925.3217508085067,-2925.3217515099095,2925.3217508085067,,,,,
2023-05-19,280718.40341335523,33.84594014549702,-0.00451437740731392,33.84594014549702,-0.00451437740731392,-33.84594014549702,0.00451437740731392,0.0,0.0,200.0,0.0,0.0,-33.84594014549702,-33.84594014549702,0.00451437740731392,0.00451437740731392,-2537.5540284672757,-2537.5540284672757,2537.5540135428314,2537.5540135428314,-2537.5540284672757,2537.5540135428314,,,,,
