date,price,delta,gamma,product_delta,product_gamma,product_position_delta,product_position_gamma,pre_hedge_contracts,post_hedge_contracts,futures_multiplier,pre_hedge_futures_delta,post_hedge_futures_delta,pre_hedge_delta,post_hedge_delta,pre_hedge_gamma,post_hedge_gamma,pre_hedge_delta_cash_1pct,post_hedge_delta_cash_1pct,pre_hedge_gamma_cash_1pct,post_hedge_gamma_cash_1pct,delta_cash_1pct,gamma_cash_1pct,vega,theta,rho,dividend_sensitivity,basis_sensitivity
2023-05-04,-1.4224497135728598e-09,684.7507220836425,-0.10168605082344784,684.7507220836425,-0.10168605082344784,-684.7507220836425,0.10168605082344784,0.0,3.0,200.0,0.0,600.0,-684.7507220836425,-84.75072208364247,0.10168605082344784,0.10168605082344784,-46110.90135238864,-5707.0873523886385,46110.90080652502,46110.90080652502,-5707.0873523886385,46110.90080652502,,,,,
2023-05-05,-57404.275801631884,776.9098148369984,-0.11676440011816687,776.9098148369984,-0.11676440011816687,-776.9098148369984,0.11676440011816687,3.0,4.0,200.0,600.0,800.0,-176.9098148369984,23.090185163001593,0.11676440011816687,0.11676440011816687,-11770.96520219639,1536.3407978036103,51692.88229080848,51692.88229080848,1536.3407978036103,51692.88229080848,,,,,
2023-05-08,127.90752586388408,765.3042813950824,-0.11418191177114331,765.3042813950824,-0.11418191177114331,-765.3042813950824,0.11418191177114331,4.0,4.0,200.0,800.0,800.0,34.6957186049176,34.6957186049176,0.11418191177114331,0.11418191177114331,2325.4805394946025,2325.4805394946025,51294.51827087905,51294.51827087905,2325.4805394946025,51294.51827087905,,,,,
2023-05-09,-69227.48885845706,863.9929251290532,-0.1306776090432711,863.9929251290532,-0.1306776090432711,-863.9929251290532,0.1306776090432711,4.0,4.0,200.0,800.0,800.0,-63.99292512905322,-63.99292512905322,0.1306776090432711,0.1306776090432711,-4230.979915214781,-4230.979915214781,57124.07524697482,57124.07524697482,-4230.979915214781,57124.07524697482,,,,,
2023-05-10,-49988.556251987546,862.0648723950784,-0.13007762417852192,862.0648723950784,-0.13007762417852192,-862.0648723950784,0.13007762417852192,4.0,4.0,200.0,800.0,800.0,-62.064872395078396,-62.064872395078396,0.13007762417852192,0.13007762417852192,-4113.2321153749945,-4113.2321153749945,57131.719928293016,57131.719928293016,-4113.2321153749945,57131.719928293016,,,,,
2023-05-11,-48346.79253146584,862.8988227332402,-0.1302976323649148,862.8988227332402,-0.1302976323649148,-862.8988227332402,0.1302976323649148,4.0,4.0,200.0,800.0,800.0,-62.898822733240195,-62.898822733240195,0.1302976323649148,0.1302976323649148,-4165.487744261606,-4165.487744261606,57145.654674968675,57145.654674968675,-4165.487744261606,57145.654674968675,,,,,
2023-05-12,-115720.62718902226,959.7892324104992,-0.14684782658954842,959.7892324104992,-0.14684782658954842,-959.7892324104992,0.14684782658954842,4.0,5.0,200.0,800.0,1000.0,-159.78923241049915,40.21076758950085,0.14684782658954842,0.14684782658954842,-10443.734748380075,2628.1532516199254,62731.28274187911,62731.28274187911,2628.1532516199254,62731.28274187911,,,,,
2023-05-15,-52738.78016662931,867.3407788442742,-0.13169641757704387,867.3407788442742,-0.13169641757704387,-867.3407788442742,0.13169641757704387,5.0,4.0,200.0,1000.0,800.0,132.65922115572585,-67.34077884427415,0.13169641757704387,0.13169641757704387,8736.816912017064,-4435.0030879829355,57122.2814178327,57122.2814178327,-4435.0030879829355,57122.2814178327,,,,,
2023-05-16,-114897.04193606254,972.0969160895637,-0.14917952612830013,972.0969160895637,-0.14917952612830013,-972.0969160895637,0.14917952612830013,4.0,5.0,200.0,800.0,1000.0,-172.0969160895637,27.903083910436294,0.14917952612830013,0.14917952612830013,-11214.33241248347,1818.2455875165301,63344.643698656,63344.643698656,1818.2455875165301,63344.643698656,,,,,
2023-05-17,-67601.13144050987,966.5634448948232,-0.14745482816341987,966.5634448948232,-0.14745482816341987,-966.5634448948232,0.14745482816341987,5.0,5.0,200.0,1000.0,1000.0,33.43655510517681,33.43655510517681,0.14745482816341987,0.14745482816341987,2191.7594998333184,2191.7594998333184,63358.04080299567,63358.04080299567,2191.7594998333184,63358.04080299567,,,,,
