date,portfolio_value,product_mtm,hedge_mtm,cash,cashflows,transaction_costs,product_pnl,hedge_pnl,total_pnl,spot,volatility,rate,basis_yield,implied_q,pricing_q,active_contract,futures_price,futures_ttm,futures_multiplier,futures_contracts,alive,knocked_in,knocked_out,matured
2023-05-04,1.4224497135728598e-09,1.4224497135728598e-09,0.0,0.0,0.0,0.0,1.4224497135728598e-09,0.0,1.4224497135728598e-09,6733.969,0.25,0.02,-0.03168695905787593,0.05168695905787593,0.08,IM2305,6725.2,0.0410958904109589,200.0,3.0,True,False,False,False
2023-05-05,12284.275801632175,57404.275801631884,-45119.99999999971,0.0,0.0,0.0,57404.275801631884,-45119.99999999971,12284.275801632175,6653.653,0.25,0.02,-0.014313780500942116,0.034313780500942116,0.08,IM2305,6650.0,0.038356164383561646,200.0,4.0,True,False,False,False
2023-05-08,-15007.907525863448,-127.90752586388408,-14879.999999999563,0.0,0.0,0.0,-127.90752586388408,-14879.999999999563,-15007.907525863448,6702.5,0.25,0.02,-0.07277474483740712,0.09277474483740712,0.08,IM2305,6687.8,0.030136986301369864,200.0,4.0,True,False,False,False
2023-05-09,-5012.51114154236,69227.48885845706,-74239.99999999942,0.0,0.0,0.0,69227.48885845706,-74239.99999999942,-5012.51114154236,6611.637,0.25,0.02,0.010836877463179488,0.009163122536820513,0.08,IM2305,6613.6,0.0273972602739726,200.0,4.0,True,False,False,False
2023-05-10,-15611.443748012454,49988.556251987546,-65600.0,0.0,0.0,0.0,49988.556251987546,-65600.0,-15611.443748012454,6627.311,0.25,0.02,-0.01781374409956385,0.037813744099563854,0.08,IM2305,6624.4,0.024657534246575342,200.0,4.0,True,False,False,False
2023-05-11,-24293.207468533576,48346.79253146584,-72639.99999999942,0.0,0.0,0.0,48346.79253146584,-72639.99999999942,-24293.207468533576,6622.521,0.25,0.02,-0.04768133238082161,0.06768133238082161,0.08,IM2305,6615.6,0.021917808219178082,200.0,4.0,True,False,False,False
2023-05-12,-18519.37281097661,115720.62718902226,-134239.99999999886,0.0,0.0,0.0,115720.62718902226,-134239.99999999886,-18519.37281097661,6535.944,0.25,0.02,0.021189200606894106,0.0,0.08,IM2305,6538.6,0.019178082191780823,200.0,5.0,True,False,False,False
2023-05-15,-42901.21983337011,52738.78016662931,-95639.99999999942,0.0,0.0,0.0,52738.78016662931,-95639.99999999942,-42901.21983337011,6585.91,0.25,0.02,-0.049723339295556786,0.06972333929555678,0.08,IM2306,6557.2,0.08767123287671233,200.0,4.0,True,False,False,False
2023-05-16,-26822.95806393682,114897.04193606254,-141719.99999999936,0.0,0.0,0.0,114897.04193606254,-141719.99999999936,-26822.95806393682,6516.289,0.25,0.02,-0.030155126043216494,0.050155126043216494,0.08,IM2306,6499.6,0.08493150684931507,200.0,5.0,True,False,False,False
2023-05-17,-52718.86855948984,67601.13144050987,-120319.99999999971,0.0,0.0,0.0,67601.13144050987,-120319.99999999971,-52718.86855948984,6554.98,0.25,0.02,-0.0630701136133639,0.0830701136133639,0.08,IM2306,6521.0,0.0821917808219178,200.0,5.0,True,False,False,False
2023-05-18,-53379.224541089105,36140.77545891043,-89519.99999999953,0.0,0.0,0.0,36140.77545891043,-89519.99999999953,-53379.224541089105,6583.738,0.25,0.02,-0.061056238243695334,0.08105623824369533,0.08,IM2306,6551.8,0.07945205479452055,200.0,4.0,True,False,False,False
2023-05-19,-41243.51384135619,17236.4861586432,-58479.99999999939,0.0,0.0,0.0,17236.4861586432,-58479.99999999939,-41243.51384135619,6602.317,0.25,0.02,-0.023134221559750864,0.043134221559750864,0.08,IM2306,6590.6,0.07671232876712329,200.0,4.0,True,False,False,False
2023-05-22,-65118.31176594494,3281.6882340548837,-68399.99999999983,0.0,0.0,0.0,3281.6882340548837,-68399.99999999983,-65118.31176594494,6595.984,0.25,0.02,-0.03936431622635958,0.059364316226359584,0.08,IM2306,6578.2,0.0684931506849315,200.0,4.0,True,False,False,False
2023-05-23,-64711.586489078385,55848.413510921295,-120559.99999999968,0.0,0.0,0.0,55848.413510921295,-120559.99999999968,-64711.586489078385,6528.453,0.25,0.02,-0.035998478506317884,0.05599847850631788,0.08,IM2306,6513.0,0.06575342465753424,200.0,5.0,True,False,False,False
2023-05-24,-68063.47418610011,68496.52581389957,-136559.99999999968,0.0,0.0,0.0,68496.52581389957,-136559.99999999968,-68063.47418610011,6513.182,0.25,0.02,-0.03942793312820411,0.059427933128204116,0.08,IM2306,6497.0,0.06301369863013699,200.0,5.0,True,False,False,False
2023-05-25,-82347.08868235549,74412.91131764402,-156759.9999999995,0.0,0.0,0.0,74412.91131764402,-156759.9999999995,-82347.08868235549,6501.0,0.25,0.02,-0.06175972927241916,0.08175972927241916,0.08,IM2306,6476.8,0.06027397260273973,200.0,5.0,True,False,False,False
