date,trade_type,instrument_type,contract,quantity,price,multiplier,notional,transaction_cost,reason
2023-05-04,hedge_rebalance,futures,IM2305,3.0,6725.2,200.0,4035119.9999999995,0.0,delta_rebalance
2023-05-05,hedge_rebalance,futures,IM2305,1.0,6650.0,200.0,1330000.0,0.0,delta_rebalance
2023-05-12,hedge_rebalance,futures,IM2305,1.0,6538.6,200.0,1307720.0,0.0,delta_rebalance
2023-05-15,roll_close,futures,IM2305,-5.0,6577.2,200.0,6577200.0,0.0,futures_roll
2023-05-15,roll_open,futures,IM2306,5.0,6557.2,200.0,6557200.0,0.0,futures_roll
2023-05-15,hedge_rebalance,futures,IM2306,-1.0,6557.2,200.0,1311440.0,0.0,delta_rebalance
2023-05-16,hedge_rebalance,futures,IM2306,1.0,6499.6,200.0,1299920.0,0.0,delta_rebalance
2023-05-18,hedge_rebalance,futures,IM2306,-1.0,6551.8,200.0,1310360.0,0.0,delta_rebalance
2023-05-23,hedge_rebalance,futures,IM2306,1.0,6513.0,200.0,1302600.0,0.0,delta_rebalance
2023-06-06,hedge_rebalance,futures,IM2306,1.0,6467.8,200.0,1293560.0,0.0,delta_rebalance
2023-06-09,hedge_rebalance,futures,IM2306,-1.0,6484.0,200.0,1296800.0,0.0,delta_rebalance
2023-06-12,roll_close,futures,IM2306,-5.0,6513.2,200.0,6513200.0,0.0,futures_roll
2023-06-12,roll_open,futures,IM2307,5.0,6494.2,200.0,6494200.0,0.0,futures_roll
2023-06-16,hedge_rebalance,futures,IM2307,-1.0,6632.6,200.0,1326520.0,0.0,delta_rebalance
2023-06-21,hedge_rebalance,futures,IM2307,2.0,6525.2,200.0,2610080.0,0.0,delta_rebalance
2023-06-26,hedge_rebalance,futures,IM2307,1.0,6427.2,200.0,1285440.0,0.0,delta_rebalance
2023-06-27,hedge_rebalance,futures,IM2307,-1.0,6478.4,200.0,1295680.0,0.0,delta_rebalance
2023-06-30,hedge_rebalance,futures,IM2307,-1.0,6575.0,200.0,1315000.0,0.0,delta_rebalance
2023-07-06,hedge_rebalance,futures,IM2307,1.0,6535.6,200.0,1307120.0,0.0,delta_rebalance
2023-07-17,roll_close,futures,IM2307,-6.0,6514.8,200.0,7817760.000000001,0.0,futures_roll
2023-07-17,roll_open,futures,IM2308,6.0,6497.8,200.0,7797360.000000001,0.0,futures_roll
2023-07-19,hedge_rebalance,futures,IM2308,1.0,6483.4,200.0,1296680.0,0.0,delta_rebalance
2023-07-31,hedge_rebalance,futures,IM2308,-1.0,6524.6,200.0,1304920.0,0.0,delta_rebalance
2023-08-01,hedge_rebalance,futures,IM2308,1.0,6509.0,200.0,1301800.0,0.0,delta_rebalance
2023-08-04,hedge_rebalance,futures,IM2308,-1.0,6534.6,200.0,1306920.0,0.0,delta_rebalance
2023-08-07,hedge_rebalance,futures,IM2308,1.0,6515.6,200.0,1303120.0,0.0,delta_rebalance
2023-08-11,hedge_rebalance,futures,IM2308,1.0,6304.0,200.0,1260800.0,0.0,delta_rebalance
2023-08-14,roll_close,futures,IM2308,-8.0,6323.2,200.0,10117120.0,0.0,futures_roll
