date,portfolio_value,product_mtm,hedge_mtm,cash,cashflows,transaction_costs,product_pnl,hedge_pnl,total_pnl,spot,volatility,rate,basis_yield,implied_q,pricing_q,active_contract,futures_price,futures_ttm,futures_multiplier,futures_contracts,alive,knocked_in,knocked_out,matured
2023-05-04,5.748006515204906e-10,5.748006515204906e-10,0.0,0.0,0.0,0.0,5.748006515204906e-10,0.0,5.748006515204906e-10,6733.969,0.25,0.02,-0.03168695905787593,0.05168695905787593,0.08,IM2305,6725.2,0.0410958904109589,200.0,2.0,True,False,False,False
2023-05-05,491.11478630091733,30571.114786300845,-30079.999999999927,0.0,0.0,0.0,30571.114786300845,-30079.999999999927,491.11478630091733,6653.653,0.25,0.02,-0.014313780500942116,0.034313780500942116,0.08,IM2305,6650.0,0.038356164383561646,200.0,2.0,True,False,False,False
2023-05-08,-14611.925893570831,348.07410642902323,-14959.999999999854,0.0,0.0,0.0,348.07410642902323,-14959.999999999854,-14611.925893570831,6702.5,0.25,0.02,-0.07277474483740712,0.09277474483740712,0.08,IM2305,6687.8,0.030136986301369864,200.0,2.0,True,False,False,False
2023-05-09,-7386.95073129845,37253.04926870133,-44639.99999999978,0.0,0.0,0.0,37253.04926870133,-44639.99999999978,-7386.95073129845,6611.637,0.25,0.02,0.010836877463179488,0.009163122536820513,0.08,IM2305,6613.6,0.0273972602739726,200.0,2.0,True,False,False,False
2023-05-10,-13070.809663590582,27249.19033640949,-40320.00000000007,0.0,0.0,0.0,27249.19033640949,-40320.00000000007,-13070.809663590582,6627.311,0.25,0.02,-0.01781374409956385,0.037813744099563854,0.08,IM2305,6624.4,0.024657534246575342,200.0,2.0,True,False,False,False
2023-05-11,-17341.736321192173,26498.26367880761,-43839.99999999978,0.0,0.0,0.0,26498.26367880761,-43839.99999999978,-17341.736321192173,6622.521,0.25,0.02,-0.04768133238082161,0.06768133238082161,0.08,IM2305,6615.6,0.021917808219178082,200.0,2.0,True,False,False,False
2023-05-12,-12817.980527203108,61822.019472796674,-74639.99999999978,0.0,0.0,0.0,61822.019472796674,-74639.99999999978,-12817.980527203108,6535.944,0.25,0.02,0.021189200606894106,0.0,0.08,IM2305,6538.6,0.019178082191780823,200.0,2.0,True,False,False,False
2023-05-15,-30114.42832453626,29085.57167546374,-59200.0,0.0,0.0,0.0,29085.57167546374,-59200.0,-30114.42832453626,6585.91,0.25,0.02,-0.049723339295556786,0.06972333929555678,0.08,IM2306,6557.2,0.08767123287671233,200.0,2.0,True,False,False,False
2023-05-16,-20035.76377623078,62204.236223769,-82239.99999999978,0.0,0.0,0.0,62204.236223769,-82239.99999999978,-20035.76377623078,6516.289,0.25,0.02,-0.030155126043216494,0.050155126043216494,0.08,IM2306,6499.6,0.08493150684931507,200.0,3.0,True,False,False,False
2023-05-17,-32174.320144635072,37225.67985536493,-69400.0,0.0,0.0,0.0,37225.67985536493,-69400.0,-32174.320144635072,6554.98,0.25,0.02,-0.0630701136133639,0.0830701136133639,0.08,IM2306,6521.0,0.0821917808219178,200.0,2.0,True,False,False,False
2023-05-18,-36347.59143249094,20732.40856750899,-57079.99999999993,0.0,0.0,0.0,20732.40856750899,-57079.99999999993,-36347.59143249094,6583.738,0.25,0.02,-0.061056238243695334,0.08105623824369533,0.08,IM2306,6551.8,0.07945205479452055,200.0,2.0,True,False,False,False
