date,trade_type,instrument_type,contract,quantity,price,multiplier,notional,transaction_cost,reason
2023-05-04,hedge_rebalance,futures,IM2305,2.0,6725.2,200.0,2690080.0,0.0,delta_rebalance
2023-05-15,roll_close,futures,IM2305,-2.0,6577.2,200.0,2630880.0,0.0,futures_roll
2023-05-15,roll_open,futures,IM2306,2.0,6557.2,200.0,2622880.0,0.0,futures_roll
2023-05-16,hedge_rebalance,futures,IM2306,1.0,6499.6,200.0,1299920.0,0.0,delta_rebalance
2023-05-17,hedge_rebalance,futures,IM2306,-1.0,6521.0,200.0,1304200.0,0.0,delta_rebalance
2023-05-23,hedge_rebalance,futures,IM2306,1.0,6513.0,200.0,1302600.0,0.0,delta_rebalance
2023-06-02,hedge_rebalance,futures,IM2306,-1.0,6612.4,200.0,1322480.0,0.0,delta_rebalance
2023-06-05,hedge_rebalance,futures,IM2306,1.0,6611.8,200.0,1322360.0,0.0,delta_rebalance
2023-06-12,roll_close,futures,IM2306,-3.0,6513.2,200.0,3907919.9999999995,0.0,futures_roll
2023-06-12,roll_open,futures,IM2307,3.0,6494.2,200.0,3896519.9999999995,0.0,futures_roll
2023-06-19,hedge_rebalance,futures,IM2307,-1.0,6647.8,200.0,1329560.0,0.0,delta_rebalance
2023-06-21,hedge_rebalance,futures,IM2307,1.0,6525.2,200.0,1305040.0,0.0,delta_rebalance
2023-07-17,roll_close,futures,IM2307,-3.0,6514.8,200.0,3908880.0000000005,0.0,futures_roll
2023-07-17,roll_open,futures,IM2308,3.0,6497.8,200.0,3898680.0000000005,0.0,futures_roll
2023-07-20,hedge_rebalance,futures,IM2308,1.0,6408.2,200.0,1281640.0,0.0,delta_rebalance
2023-08-14,roll_close,futures,IM2308,-4.0,6323.2,200.0,5058560.0,0.0,futures_roll
2023-08-14,roll_open,futures,IM2309,4.0,6326.2,200.0,5060960.0,0.0,futures_roll
2023-08-16,hedge_rebalance,futures,IM2309,1.0,6200.0,200.0,1240000.0,0.0,delta_rebalance
2023-08-17,hedge_rebalance,futures,IM2309,-1.0,6257.6,200.0,1251520.0,0.0,delta_rebalance
2023-08-18,hedge_rebalance,futures,IM2309,1.0,6127.4,200.0,1225480.0,0.0,delta_rebalance
2023-09-11,roll_close,futures,IM2309,-5.0,6165.0,200.0,6165000.0,0.0,futures_roll
2023-09-11,roll_open,futures,IM2310,5.0,6155.4,200.0,6155400.0,0.0,futures_roll
2023-10-16,roll_close,futures,IM2310,-5.0,6013.4,200.0,6013400.0,0.0,futures_roll
2023-10-16,roll_open,futures,IM2311,5.0,6000.2,200.0,6000200.0,0.0,futures_roll
2023-10-18,hedge_rebalance,futures,IM2311,1.0,5887.4,200.0,1177480.0,0.0,delta_rebalance
2023-10-24,hedge_rebalance,futures,IM2311,-1.0,5675.2,200.0,1135040.0,0.0,delta_rebalance
2023-10-25,hedge_rebalance,futures,IM2311,1.0,5739.6,200.0,1147920.0,0.0,delta_rebalance
2023-11-13,roll_close,futures,IM2311,-6.0,6124.0,200.0,7348800.0,0.0,futures_roll
2023-11-13,roll_open,futures,IM2312,6.0,6092.2,200.0,7310639.999999999,0.0,futures_roll
2023-12-11,roll_close,futures,IM2312,-6.0,6070.6,200.0,7284720.000000001,0.0,futures_roll
2023-12-11,roll_open,futures,IM2401,6.0,6035.8,200.0,7242960.000000001,0.0,futures_roll
2023-12-25,hedge_rebalance,futures,IM2401,1.0,5717.6,200.0,1143520.0,0.0,delta_rebalance
2023-12-26,hedge_rebalance,futures,IM2401,-1.0,5636.6,200.0,1127320.0,0.0,delta_rebalance
2024-01-15,roll_close,futures,IM2401,-6.0,5530.2,200.0,6636239.999999999,0.0,futures_roll
2024-01-15,roll_open,futures,IM2402,6.0,5490.2,200.0,6588239.999999999,0.0,futures_roll
2024-01-22,hedge_rebalance,futures,IM2402,-1.0,4830.4,200.0,966079.9999999999,0.0,delta_rebalance
2024-01-24,hedge_rebalance,futures,IM2402,1.0,5090.8,200.0,1018160.0,0.0,delta_rebalance
2024-01-31,hedge_rebalance,futures,IM2402,-1.0,4727.2,200.0,945440.0,0.0,delta_rebalance
2024-02-02,hedge_rebalance,futures,IM2402,-1.0,4507.2,200.0,901440.0,0.0,delta_rebalance
2024-02-05,hedge_rebalance,futures,IM2402,-1.0,4176.6,200.0,835320.0000000001,0.0,delta_rebalance
2024-02-06,hedge_rebalance,futures,IM2402,1.0,4609.0,200.0,921800.0,0.0,delta_rebalance
2024-02-07,hedge_rebalance,futures,IM2402,1.0,4825.0,200.0,965000.0,0.0,delta_rebalance
2024-02-19,roll_close,futures,IM2402,-5.0,4985.4,200.0,4985400.0,0.0,futures_roll
2024-02-19,roll_open,futures,IM2403,5.0,4954.6,200.0,4954600.0,0.0,futures_roll
2024-02-19,hedge_rebalance,futures,IM2403,1.0,4954.6,200.0,990920.0000000001,0.0,delta_rebalance
2024-02-21,hedge_rebalance,futures,IM2403,-1.0,5001.4,200.0,1000279.9999999999,0.0,delta_rebalance
2024-02-22,hedge_rebalance,futures,IM2403,1.0,5122.4,200.0,1024479.9999999999,0.0,delta_rebalance
2024-02-27,hedge_rebalance,futures,IM2403,1.0,5386.0,200.0,1077200.0,0.0,delta_rebalance
2024-02-28,hedge_rebalance,futures,IM2403,-1.0,5117.6,200.0,1023520.0000000001,0.0,delta_rebalance
2024-03-01,hedge_rebalance,futures,IM2403,1.0,5392.0,200.0,1078400.0,0.0,delta_rebalance
2024-03-04,hedge_rebalance,futures,IM2403,-1.0,5383.4,200.0,1076680.0,0.0,delta_rebalance
2024-03-11,roll_close,futures,IM2403,-6.0,5463.0,200.0,6555600.0,0.0,futures_roll
2024-03-11,roll_open,futures,IM2404,6.0,5413.6,200.0,6496320.0,0.0,futures_roll
2024-03-11,hedge_rebalance,futures,IM2404,1.0,5413.6,200.0,1082720.0,0.0,delta_rebalance
2024-03-12,hedge_rebalance,futures,IM2404,-1.0,5446.2,200.0,1089240.0,0.0,delta_rebalance
2024-03-13,hedge_rebalance,futures,IM2404,1.0,5473.0,200.0,1094600.0,0.0,delta_rebalance
2024-03-14,hedge_rebalance,futures,IM2404,-1.0,5437.2,200.0,1087440.0,0.0,delta_rebalance
2024-03-15,hedge_rebalance,futures,IM2404,1.0,5532.2,200.0,1106440.0,0.0,delta_rebalance
2024-03-27,hedge_rebalance,futures,IM2404,-1.0,5216.8,200.0,1043360.0,0.0,delta_rebalance
2024-03-29,hedge_rebalance,futures,IM2404,1.0,5412.0,200.0,1082400.0,0.0,delta_rebalance
2024-04-12,hedge_rebalance,futures,IM2404,-1.0,5309.0,200.0,1061800.0,0.0,delta_rebalance
2024-04-15,roll_close,futures,IM2404,-6.0,5262.8,200.0,6315360.000000001,0.0,futures_roll
2024-04-15,roll_open,futures,IM2405,6.0,5197.0,200.0,6236400.0,0.0,futures_roll
2024-04-15,hedge_rebalance,futures,IM2405,1.0,5197.0,200.0,1039400.0,0.0,delta_rebalance
2024-04-16,hedge_rebalance,futures,IM2405,-1.0,4986.4,200.0,997279.9999999999,0.0,delta_rebalance
2024-04-17,hedge_rebalance,futures,IM2405,1.0,5232.0,200.0,1046400.0,0.0,delta_rebalance
2024-04-19,hedge_rebalance,futures,IM2405,-1.0,5191.8,200.0,1038360.0,0.0,delta_rebalance
2024-04-29,hedge_rebalance,futures,IM2405,1.0,5557.0,200.0,1111400.0,0.0,delta_rebalance
2024-05-13,roll_close,futures,IM2405,-7.0,5512.0,200.0,7716800.0,0.0,futures_roll
2024-05-13,roll_open,futures,IM2406,7.0,5443.8,200.0,7621320.0,0.0,futures_roll
2024-05-20,hedge_rebalance,futures,IM2406,1.0,5539.2,200.0,1107840.0,0.0,delta_rebalance
2024-05-21,hedge_rebalance,futures,IM2406,-1.0,5476.8,200.0,1095360.0,0.0,delta_rebalance
2024-06-04,hedge_rebalance,futures,IM2406,-1.0,5268.6,200.0,1053720.0,0.0,delta_rebalance
2024-06-11,hedge_rebalance,futures,IM2406,1.0,5174.0,200.0,1034800.0,0.0,delta_rebalance
2024-06-12,hedge_rebalance,futures,IM2406,-1.0,5180.6,200.0,1036120.0000000001,0.0,delta_rebalance
2024-06-17,roll_close,futures,IM2406,-6.0,5173.8,200.0,6208560.000000001,0.0,futures_roll
2024-06-17,roll_open,futures,IM2407,6.0,5126.4,200.0,6151680.0,0.0,futures_roll
2024-06-17,hedge_rebalance,futures,IM2407,1.0,5126.4,200.0,1025279.9999999999,0.0,delta_rebalance
