date,trade_type,instrument_type,contract,quantity,price,multiplier,notional,transaction_cost,reason
2023-05-04,hedge_rebalance,futures,IM2305,1.0,6725.2,200.0,1345040.0,0.0,delta_rebalance
2023-05-09,hedge_rebalance,futures,IM2305,1.0,6613.6,200.0,1322720.0,0.0,delta_rebalance
2023-05-15,roll_close,futures,IM2305,-2.0,6577.2,200.0,2630880.0,0.0,futures_roll
2023-05-15,roll_open,futures,IM2306,2.0,6557.2,200.0,2622880.0,0.0,futures_roll
2023-06-12,roll_close,futures,IM2306,-2.0,6513.2,200.0,2605280.0,0.0,futures_roll
2023-06-12,roll_open,futures,IM2307,2.0,6494.2,200.0,2597680.0,0.0,futures_roll
2023-07-17,roll_close,futures,IM2307,-2.0,6514.8,200.0,2605920.0,0.0,futures_roll
2023-07-17,roll_open,futures,IM2308,2.0,6497.8,200.0,2599120.0,0.0,futures_roll
2023-08-09,hedge_rebalance,futures,IM2308,1.0,6433.2,200.0,1286640.0,0.0,delta_rebalance
2023-08-14,roll_close,futures,IM2308,-3.0,6323.2,200.0,3793919.9999999995,0.0,futures_roll
2023-08-14,roll_open,futures,IM2309,3.0,6326.2,200.0,3795719.9999999995,0.0,futures_roll
2023-08-25,hedge_rebalance,futures,IM2309,1.0,5881.8,200.0,1176360.0,0.0,delta_rebalance
2023-08-29,hedge_rebalance,futures,IM2309,-1.0,6099.2,200.0,1219840.0,0.0,delta_rebalance
2023-09-11,roll_close,futures,IM2309,-3.0,6165.0,200.0,3699000.0,0.0,futures_roll
2023-09-11,roll_open,futures,IM2310,3.0,6155.4,200.0,3693239.9999999995,0.0,futures_roll
2023-09-20,hedge_rebalance,futures,IM2310,1.0,5987.2,200.0,1197440.0,0.0,delta_rebalance
2023-09-22,hedge_rebalance,futures,IM2310,-1.0,6065.0,200.0,1213000.0,0.0,delta_rebalance
2023-09-25,hedge_rebalance,futures,IM2310,1.0,6031.4,200.0,1206280.0,0.0,delta_rebalance
2023-09-28,hedge_rebalance,futures,IM2310,-1.0,6075.0,200.0,1215000.0,0.0,delta_rebalance
2023-10-09,hedge_rebalance,futures,IM2310,1.0,6055.0,200.0,1211000.0,0.0,delta_rebalance
2023-10-12,hedge_rebalance,futures,IM2310,-1.0,6093.0,200.0,1218600.0,0.0,delta_rebalance
2023-10-13,hedge_rebalance,futures,IM2310,1.0,6084.2,200.0,1216840.0,0.0,delta_rebalance
2023-10-16,roll_close,futures,IM2310,-4.0,6013.4,200.0,4810720.0,0.0,futures_roll
2023-10-16,roll_open,futures,IM2311,4.0,6000.2,200.0,4800160.0,0.0,futures_roll
2023-10-24,hedge_rebalance,futures,IM2311,30.0,5675.2,200.0,34051200.0,0.0,delta_rebalance
2023-10-25,hedge_rebalance,futures,IM2311,-30.0,5739.6,200.0,34437600.0,0.0,delta_rebalance
2023-11-02,hedge_rebalance,futures,IM2311,-23.0,5877.4,200.0,27036039.999999996,0.0,delta_rebalance
2023-11-03,hedge_rebalance,futures,IM2311,23.0,5958.0,200.0,27406800.0,0.0,delta_rebalance
2023-11-13,roll_close,futures,IM2311,-4.0,6124.0,200.0,4899200.0,0.0,futures_roll
2023-11-13,roll_open,futures,IM2312,4.0,6092.2,200.0,4873760.0,0.0,futures_roll
