date,portfolio_value,product_mtm,hedge_mtm,cash,cashflows,transaction_costs,product_pnl,hedge_pnl,total_pnl,spot,volatility,rate,basis_yield,implied_q,pricing_q,active_contract,futures_price,futures_ttm,futures_multiplier,futures_contracts,alive,knocked_in,knocked_out,matured
2023-05-04,1.4224497135728598e-09,1.4224497135728598e-09,0.0,0.0,0.0,0.0,1.4224497135728598e-09,0.0,1.4224497135728598e-09,6733.969,0.25,0.02,-0.05992608815920072,0.07992608815920071,0.08,IM2305,6717.385147125124,0.0410958904109589,200.0,3.0,True,False,False,False
2023-05-05,-2189.813269971666,-7749.12130156011,5559.308031588444,0.0,0.0,0.0,-7749.12130156011,5559.308031588444,-2189.813269971666,6742.148998483871,0.25,0.02,-0.05993101183668619,0.07993101183668619,0.08,IM2305,6726.650660511104,0.038356164383561646,200.0,-8.0,True,False,False,False
2023-05-08,-42319.29811471885,-29521.08193616398,-12798.216178554867,0.0,0.0,0.0,-29521.08193616398,-12798.216178554867,-42319.29811471885,6750.31914070669,0.25,0.02,-0.05994578610644762,0.07994578610644762,0.08,IM2305,6738.124113142444,0.030136986301369864,200.0,3.0,True,False,False,False
2023-05-09,-47778.716615078876,-40527.36992496993,-7251.346690108949,0.0,0.0,0.0,-40527.36992496993,-7251.346690108949,-47778.716615078876,6758.469582283425,0.25,0.02,-0.05995071194235867,0.07995071194235867,0.08,IM2305,6747.368895623187,0.0273972602739726,200.0,3.0,True,False,False,False
2023-05-10,-53252.81621327487,-51532.366935308906,-1720.4492779659631,0.0,0.0,0.0,-51532.366935308906,-1720.4492779659631,-53252.81621327487,6766.590502566797,0.25,0.02,-0.05995563831804582,0.07995563831804582,0.08,IM2305,6756.587057976759,0.024657534246575342,200.0,3.0,True,False,False,False
2023-05-11,-58744.18668759424,-62532.7911063039,3788.604418709656,0.0,0.0,0.0,-62532.7911063039,3788.604418709656,-58744.18668759424,6774.672116480379,0.25,0.02,-0.059960565233576194,0.0799605652335762,0.08,IM2305,6765.768814137885,0.021917808219178082,200.0,3.0,True,False,False,False
2023-05-12,-64118.14054327816,-73388.10782958836,9269.967286310202,0.0,0.0,0.0,-73388.10782958836,9269.967286310202,-64118.14054327816,6782.704686308863,0.25,0.02,-0.059965492689007936,0.07996549268900793,0.08,IM2305,6774.904418917219,0.019178082191780823,200.0,3.0,True,False,False,False
2023-05-15,-79188.38071143141,-95244.63508478597,16056.254373354568,0.0,0.0,0.0,-95244.63508478597,16056.254373354568,-79188.38071143141,6790.678533431241,0.25,0.02,-0.05984246812214192,0.07984246812214192,0.08,IM2306,6755.05149004147,0.08767123287671233,200.0,3.0,True,False,False,False
2023-05-16,-84147.76284639232,-105589.52366319776,21441.760816805436,0.0,0.0,0.0,-105589.52366319776,21441.760816805436,-84147.76284639232,6798.584049982792,0.25,0.02,-0.059847382638171756,0.07984738263817176,0.08,IM2306,6764.027334113888,0.08493150684931507,200.0,3.0,True,False,False,False
2023-05-17,-89132.605510604,-115915.05009515483,26782.44458455083,0.0,0.0,0.0,-115915.05009515483,26782.44458455083,-89132.605510604,6806.411710431814,0.25,0.02,-0.05985229769258128,0.07985229769258129,0.08,IM2306,6772.928473726797,0.0821917808219178,200.0,3.0,True,False,False,False
2023-05-18,-94149.56960651951,-126222.22063872276,32072.651032203248,0.0,0.0,0.0,-126222.22063872276,32072.651032203248,-94149.56960651951,6814.15208305714,0.25,0.02,-0.05985721328543432,0.07985721328543433,0.08,IM2306,6781.7454844728845,0.07945205479452055,200.0,3.0,True,False,False,False
