date,trade_type,instrument_type,contract,quantity,price,multiplier,notional,transaction_cost,reason
2023-05-04,hedge_rebalance,futures,IM2305,3.0,6717.385147125124,200.0,4030431.088275074,0.0,delta_rebalance
2023-05-05,hedge_rebalance,futures,IM2305,-11.0,6726.650660511104,200.0,14798631.45312443,0.0,delta_rebalance
2023-05-08,hedge_rebalance,futures,IM2305,11.0,6738.124113142444,200.0,14823873.048913376,0.0,delta_rebalance
2023-05-15,roll_close,futures,IM2305,-3.0,6786.214897395626,200.0,4071728.9384373752,0.0,futures_roll
2023-05-15,roll_open,futures,IM2306,3.0,6755.05149004147,200.0,4053030.894024882,0.0,futures_roll
2023-05-29,hedge_rebalance,futures,IM2306,-1.0,6844.840036847255,200.0,1368968.007369451,0.0,delta_rebalance
2023-06-01,hedge_rebalance,futures,IM2306,-1.0,6867.814168673474,200.0,1373562.8337346949,0.0,delta_rebalance
2023-06-05,hedge_rebalance,futures,IM2306,-8.0,6884.511514369062,200.0,11015218.422990499,0.0,delta_rebalance
2023-06-06,hedge_rebalance,futures,IM2306,10.0,6891.443816605022,200.0,13782887.633210044,0.0,delta_rebalance
2023-06-12,roll_close,futures,IM2306,-3.0,6919.370179712771,200.0,4151622.107827662,0.0,futures_roll
2023-06-12,roll_open,futures,IM2307,3.0,6879.674407523841,200.0,4127804.6445143046,0.0,futures_roll
2023-06-15,hedge_rebalance,futures,IM2307,-1.0,6896.463426802048,200.0,1379292.6853604096,0.0,delta_rebalance
2023-07-03,hedge_rebalance,futures,IM2307,-1.0,6945.174113498258,200.0,1389034.8226996516,0.0,delta_rebalance
2023-07-04,hedge_close,futures,IM2307,-1.0,6947.655032573057,200.0,1389531.0065146114,0.0,product_terminated
