date,price,delta,gamma,product_delta,product_gamma,product_position_delta,product_position_gamma,pre_hedge_contracts,post_hedge_contracts,futures_multiplier,pre_hedge_futures_delta,post_hedge_futures_delta,pre_hedge_delta,post_hedge_delta,pre_hedge_gamma,post_hedge_gamma,pre_hedge_delta_cash_1pct,post_hedge_delta_cash_1pct,pre_hedge_gamma_cash_1pct,post_hedge_gamma_cash_1pct,delta_cash_1pct,gamma_cash_1pct,vega,theta,rho,dividend_sensitivity,basis_sensitivity
2023-05-04,1.318767317570746e-10,240.15098045453814,-0.0356626208858001,240.15098045453814,-0.0356626208858001,-240.15098045453814,0.0356626208858001,0.0,1.0,200.0,0.0,200.0,-240.15098045453814,-40.15098045453814,0.0356626208858001,0.0356626208858001,-16171.692577004658,-2703.7545770046577,16171.692782336322,16171.692782336322,-2703.7545770046577,16171.692782336322,,,,,
2023-05-05,1102.7832300207847,-1812.0595186188395,6094.527638054438,-1812.0595186188395,6094.527638054438,1812.0595186188395,-6094.527638054438,1.0,-9.0,200.0,200.0,-1800.0,2012.0595186188395,12.059518618839547,-6094.527638054438,-6094.527638054438,135656.0506834595,813.0707137820666,-2770363411.974128,-2770363411.974128,813.0707137820666,-2770363411.974128,,,,,
2023-05-08,8492.173609944419,240.08151611646792,-0.03556595035984267,240.08151611646792,-0.03556595035984267,-240.08151611646792,0.03556595035984267,-9.0,1.0,200.0,-1800.0,200.0,-2040.0815161164678,-40.081516116467924,0.03556595035984267,0.03556595035984267,-137712.01306842914,-2705.630254295371,16206.268492169329,16206.268492169329,-2705.630254295371,16206.268492169329,,,,,
2023-05-09,12307.6635646061,239.0482198877941,-0.035370170853746774,239.0482198877941,-0.035370170853746774,-239.0482198877941,0.035370170853746774,1.0,1.0,200.0,200.0,200.0,-39.04821988779409,-39.04821988779409,0.035370170853746774,0.035370170853746774,-2639.0620635397104,-2639.0620635397104,16156.001494891823,16156.001494891823,-2639.0620635397104,16156.001494891823,,,,,
2023-05-10,16139.583977942422,237.98546840735227,-0.035170661945848294,237.98546840735227,-0.035170661945848294,-237.98546840735227,0.035170661945848294,1.0,1.0,200.0,200.0,200.0,-37.98546840735227,-37.98546840735227,0.035170661945848294,0.035170661945848294,-2570.3210976074097,-2570.3210976074097,16103.50201372057,16103.50201372057,-2570.3210976074097,16103.50201372057,,,,,
2023-05-11,19985.803975229326,236.89398053671954,-0.034967593381876036,236.89398053671954,-0.034967593381876036,-236.89398053671954,0.034967593381876036,1.0,1.0,200.0,200.0,200.0,-36.89398053671954,-36.89398053671954,0.034967593381876036,0.034967593381876036,-2499.446212080837,-2499.446212080837,16048.790399509016,16048.790399509016,-2499.446212080837,16048.790399509016,,,,,
2023-05-12,23794.338513970473,203.30362231858822,-0.02997382796862653,203.30362231858822,-0.02997382796862653,-203.30362231858822,0.02997382796862653,1.0,1.0,200.0,200.0,200.0,-3.303622318588225,-3.303622318588225,0.02997382796862653,0.02997382796862653,-224.07494582082904,-224.07494582082904,13789.484393782914,13789.484393782914,-224.07494582082904,13789.484393782914,,,,,
2023-05-15,31505.500985016086,198.76240855986214,-0.029269889287934395,198.76240855986214,-0.029269889287934395,-198.76240855986214,0.029269889287934395,1.0,1.0,200.0,200.0,200.0,1.2375914401378623,1.2375914401378623,0.029269889287934395,0.029269889287934395,84.04085625702434,84.04085625702434,13497.316231223516,13497.316231223516,84.04085625702434,13497.316231223516,,,,,
2023-05-16,35179.48842844093,196.9683629155127,-0.028971967981647005,196.9683629155127,-0.028971967981647005,-196.9683629155127,0.028971967981647005,1.0,1.0,200.0,200.0,200.0,3.0316370844873006,3.0316370844873006,0.028971967981647005,0.028971967981647005,206.10839527931694,206.10839527931694,13391.059466812294,13391.059466812294,206.10839527931694,13391.059466812294,,,,,
2023-05-17,38856.17198397246,195.11161886582843,-0.028665855954486494,195.11161886582843,-0.028665855954486494,-195.11161886582843,0.028665855954486494,1.0,1.0,200.0,200.0,200.0,4.888381134171567,4.888381134171567,0.028665855954486494,0.028665855954486494,332.7233459667931,332.7233459667931,13280.099992698522,13280.099992698522,332.7233459667931,13280.099992698522,,,,,
2023-05-18,42534.57205153714,193.1900854948955,-0.02835130133184413,193.1900854948955,-0.02835130133184413,-193.1900854948955,0.02835130133184413,1.0,1.0,200.0,200.0,200.0,6.809914505104501,6.809914505104501,0.02835130133184413,0.02835130133184413,464.0379311039887,464.0379311039887,13164.265794330275,13164.265794330275,464.0379311039887,13164.265794330275,,,,,
2023-05-19,49143.90159763183,185.96332227110804,-0.027260171508843054,185.96332227110804,-0.027260171508843054,-185.96332227110804,0.027260171508843054,1.0,1.0,200.0,200.0,200.0,14.03667772889196,14.03667772889196,0.027260171508843054,0.027260171508843054,957.5534975680083,957.5534975680083,12686.038346146233,12686.038346146233,957.5534975680083,12686.038346146233,,,,,
2023-05-22,57251.02579384356,180.08987186886603,-0.026370049978209614,180.08987186886603,-0.026370049978209614,-180.08987186886603,0.026370049978209614,1.0,1.0,200.0,200.0,200.0,19.910128131133973,19.910128131133973,0.026370049978209614,0.026370049978209614,1359.7291051182406,1359.7291051182406,12298.938519961666,12298.938519961666,1359.7291051182406,12298.938519961666,,,,,
2023-05-23,60912.8960758811,177.8863939924084,-0.02601912073745037,177.8863939924084,-0.02601912073745037,-177.8863939924084,0.02601912073745037,1.0,1.0,200.0,200.0,200.0,22.113606007591613,22.113606007591613,0.02601912073745037,0.02601912073745037,1511.8534628231764,1511.8534628231764,12161.660597485024,12161.660597485024,1511.8534628231764,12161.660597485024,,,,,
2023-05-24,64585.03978628233,175.6314919188075,-0.025661902753577832,175.6314919188075,-0.025661902753577832,-175.6314919188075,0.025661902753577832,1.0,1.0,200.0,200.0,200.0,24.368508081192488,24.368508081192488,0.025661902753577832,0.025661902753577832,1667.7943338419311,1667.7943338419311,12020.318099530414,12020.318099530414,1667.7943338419311,12020.318099530414,,,,,
2023-05-25,68275.22912115316,173.3301750856242,-0.025299159741930793,173.3301750856242,-0.025299159741930793,-173.3301750856242,0.025299159741930793,1.0,1.0,200.0,200.0,200.0,26.669824914375795,26.669824914375795,0.025299159741930793,0.025299159741930793,1827.2090468764986,1827.2090468764986,11875.235795741895,11875.235795741895,1827.2090468764986,11875.235795741895,,,,,
2023-05-26,71994.51163365477,170.31287551321665,-2.0101862186179273,170.31287551321665,-2.0101862186179273,-170.31287551321665,2.0101862186179273,1.0,1.0,200.0,200.0,200.0,29.687124486783347,29.687124486783347,2.0101862186179273,2.0101862186179273,2036.016548305083,2036.016548305083,945502.3902701213,945502.3902701213,2036.016548305083,945502.3902701213,,,,,
2023-05-29,81037.96673076072,112.68847373082133,-0.016414632372207097,112.68847373082133,-0.016414632372207097,-112.68847373082133,0.016414632372207097,1.0,1.0,200.0,200.0,200.0,87.31152626917867,87.31152626917867,0.016414632372207097,0.016414632372207097,5994.043894561117,5994.043894561117,7736.202664091252,7736.202664091252,5994.043894561117,7736.202664091252,,,,,
