date,trade_type,instrument_type,contract,quantity,price,multiplier,notional,transaction_cost,reason
2023-05-04,hedge_rebalance,futures,IM2305,1.0,6717.385147125124,200.0,1343477.0294250248,0.0,delta_rebalance
2023-05-05,hedge_rebalance,futures,IM2305,-10.0,6726.650660511104,200.0,13453301.321022209,0.0,delta_rebalance
2023-05-08,hedge_rebalance,futures,IM2305,10.0,6738.124113142444,200.0,13476248.226284888,0.0,delta_rebalance
2023-05-15,roll_close,futures,IM2305,-1.0,6786.214897395626,200.0,1357242.9794791252,0.0,futures_roll
2023-05-15,roll_open,futures,IM2306,1.0,6755.05149004147,200.0,1351010.298008294,0.0,futures_roll
2023-05-31,hedge_rebalance,futures,IM2306,-1.0,6860.324729282929,200.0,1372064.9458565859,0.0,delta_rebalance
2023-06-05,hedge_rebalance,futures,IM2306,-3.0,6884.511514369062,200.0,4130706.908621437,0.0,delta_rebalance
2023-06-06,hedge_rebalance,futures,IM2306,4.0,6891.443816605022,200.0,5513155.053284017,0.0,delta_rebalance
2023-06-12,roll_close,futures,IM2306,-1.0,6919.370179712771,200.0,1383874.035942554,0.0,futures_roll
2023-06-12,roll_open,futures,IM2307,1.0,6879.674407523841,200.0,1375934.8815047683,0.0,futures_roll
2023-06-30,hedge_rebalance,futures,IM2307,-1.0,6940.133346770577,200.0,1388026.6693541154,0.0,delta_rebalance
