date,trade_type,instrument_type,contract,quantity,price,multiplier,notional,transaction_cost,reason
2023-05-04,hedge_rebalance,futures,IM2305,3.0,6717.385147125124,200.0,4030431.088275074,0.0,delta_rebalance
2023-05-09,hedge_rebalance,futures,IM2305,1.0,6683.908256936681,200.0,1336781.6513873362,0.0,delta_rebalance
2023-05-15,roll_close,futures,IM2305,-4.0,6638.452145867571,200.0,5310761.716694057,0.0,futures_roll
2023-05-15,roll_open,futures,IM2306,4.0,6607.96728920585,200.0,5286373.83136468,0.0,futures_roll
2023-05-24,hedge_rebalance,futures,IM2306,1.0,6526.9442589343635,200.0,1305388.8517868726,0.0,delta_rebalance
2023-05-31,hedge_rebalance,futures,IM2306,1.0,6469.522619477549,200.0,1293904.5238955098,0.0,delta_rebalance
2023-06-12,roll_close,futures,IM2306,-6.0,6378.193590722945,200.0,7653832.308867535,0.0,futures_roll
2023-06-12,roll_open,futures,IM2307,6.0,6341.602497432899,200.0,7609922.99691948,0.0,futures_roll
2023-06-15,hedge_rebalance,futures,IM2307,1.0,6305.896666564789,200.0,1261179.3333129578,0.0,delta_rebalance
2023-06-19,hedge_rebalance,futures,IM2307,-18.0,6284.138032523962,200.0,22622896.917086262,0.0,delta_rebalance
2023-06-20,hedge_rebalance,futures,IM2307,18.0,6272.215826694553,200.0,22579976.97610039,0.0,delta_rebalance
2023-07-03,hedge_rebalance,futures,IM2307,1.0,6194.752695480702,200.0,1238950.5390961403,0.0,delta_rebalance
2023-07-17,roll_close,futures,IM2307,-8.0,6078.896252306625,200.0,9726234.0036906,0.0,futures_roll
2023-07-17,roll_open,futures,IM2308,8.0,6050.9809677130015,200.0,9681569.548340803,0.0,futures_roll
2023-07-17,hedge_rebalance,futures,IM2308,1.0,6050.9809677130015,200.0,1210196.1935426004,0.0,delta_rebalance
2023-08-08,hedge_rebalance,futures,IM2308,1.0,5864.9019937221565,200.0,1172980.3987444313,0.0,delta_rebalance
2023-08-14,roll_close,futures,IM2308,-10.0,5818.637697161998,200.0,11637275.394323997,0.0,futures_roll
2023-08-14,roll_open,futures,IM2309,10.0,5791.917562367491,200.0,11583835.124734981,0.0,futures_roll
2023-09-05,hedge_rebalance,futures,IM2309,1.0,5604.900005400084,200.0,1120980.0010800168,0.0,delta_rebalance
2023-09-11,roll_close,futures,IM2309,-11.0,5558.379142017373,200.0,12228434.11243822,0.0,futures_roll
2023-09-11,roll_open,futures,IM2310,11.0,5526.491246669883,200.0,12158280.742673744,0.0,futures_roll
2023-10-16,roll_close,futures,IM2310,-11.0,5311.133514629978,200.0,11684493.73218595,0.0,futures_roll
2023-10-16,roll_open,futures,IM2311,11.0,5286.743921943746,200.0,11630836.62827624,0.0,futures_roll
2023-11-13,roll_close,futures,IM2311,-11.0,5050.8749594853525,200.0,11111924.910867777,0.0,futures_roll
2023-11-13,roll_open,futures,IM2312,11.0,5027.680516598235,200.0,11060897.136516117,0.0,futures_roll
2023-12-11,roll_close,futures,IM2312,-11.0,4790.616404340725,200.0,10539356.089549595,0.0,futures_roll
2023-12-11,roll_open,futures,IM2401,11.0,4763.133091193407,200.0,10478892.800625497,0.0,futures_roll
2023-12-22,hedge_rebalance,futures,IM2401,-1.0,4655.09845940711,200.0,931019.691881422,0.0,delta_rebalance
2023-12-26,hedge_rebalance,futures,IM2401,1.0,4632.219921046987,200.0,926443.9842093975,0.0,delta_rebalance
2023-12-27,hedge_rebalance,futures,IM2401,-1.0,4620.00909640073,200.0,924001.819280146,0.0,delta_rebalance
2024-01-15,roll_close,futures,IM2401,-10.0,4478.306138167173,200.0,8956612.276334345,0.0,futures_roll
2024-01-15,roll_open,futures,IM2402,10.0,4457.74102483811,200.0,8915482.04967622,0.0,futures_roll
2024-02-19,roll_close,futures,IM2402,-10.0,4359.128761678597,200.0,8718257.523357194,0.0,futures_roll_missing_old_contract
2024-02-19,roll_open,futures,IM2403,10.0,4359.128761678597,200.0,8718257.523357194,0.0,futures_roll_missing_old_contract
2024-03-11,roll_close,futures,IM2403,-10.0,4374.202716109324,200.0,8748405.432218648,0.0,futures_roll
2024-03-11,roll_open,futures,IM2404,10.0,4349.108328901082,200.0,8698216.657802165,0.0,futures_roll
2024-04-15,roll_close,futures,IM2404,-10.0,4374.202716109324,200.0,8748405.432218648,0.0,futures_roll
2024-04-15,roll_open,futures,IM2405,10.0,4354.115662699906,200.0,8708231.325399812,0.0,futures_roll
2024-05-13,roll_close,futures,IM2405,-10.0,4374.202716109324,200.0,8748405.432218648,0.0,futures_roll
