date,portfolio_value,product_mtm,hedge_mtm,cash,cashflows,transaction_costs,product_pnl,hedge_pnl,total_pnl,spot,volatility,rate,basis_yield,implied_q,pricing_q,active_contract,futures_price,futures_ttm,futures_multiplier,futures_contracts,alive,knocked_in,knocked_out,matured
2023-05-04,5.748006515204906e-10,5.748006515204906e-10,0.0,0.0,0.0,0.0,5.748006515204906e-10,0.0,5.748006515204906e-10,6733.969,0.25,0.02,-0.05992608815920072,0.07992608815920071,0.08,IM2305,6717.385147125124,0.0410958904109589,200.0,2.0,True,False,False,False
2023-05-05,-2764.313476459607,1990.580826094414,-4754.894302554021,0.0,0.0,0.0,1990.580826094414,-4754.894302554021,-2764.313476459607,6720.947512983425,0.25,0.02,-0.059931011836682924,0.07993101183668293,0.08,IM2305,6705.497911368739,0.038356164383561646,200.0,2.0,True,False,False,False
2023-05-08,-10320.894947228737,-1689.8701699739486,-8631.024777254788,0.0,0.0,0.0,-1689.8701699739486,-8631.024777254788,-10320.894947228737,6707.926025966851,0.25,0.02,-0.05994578610644892,0.07994578610644892,0.08,IM2305,6695.807585181987,0.030136986301369864,200.0,2.0,True,False,False,False
2023-05-09,-12836.100189518773,554.6558858582939,-13390.756075377067,0.0,0.0,0.0,554.6558858582939,-13390.756075377067,-12836.100189518773,6694.904538950276,0.25,0.02,-0.05995071194236269,0.0799507119423627,0.08,IM2305,6683.908256936681,0.0273972602739726,200.0,2.0,True,False,False,False
2023-05-10,-15228.3633189633,2923.7614117503945,-18152.124730713695,0.0,0.0,0.0,2923.7614117503945,-18152.124730713695,-15228.3633189633,6681.883051933702,0.25,0.02,-0.059955638318049655,0.07995563831804965,0.08,IM2305,6672.0048352983395,0.024657534246575342,200.0,2.0,True,False,False,False
2023-05-11,-17651.004115576296,5264.127037403372,-22915.131152979666,0.0,0.0,0.0,5264.127037403372,-22915.131152979666,-17651.004115576296,6668.861564917127,0.25,0.02,-0.05996056523357491,0.0799605652335749,0.08,IM2305,6660.0973192426745,0.021917808219178082,200.0,2.0,True,False,False,False
2023-05-12,-18087.181982050457,9592.593769930103,-27679.77575198056,0.0,0.0,0.0,9592.593769930103,-27679.77575198056,-18087.181982050457,6655.840077900552,0.25,0.02,-0.0599654926890052,0.0799654926890052,0.08,IM2305,6648.185707745172,0.019178082191780823,200.0,2.0,True,False,False,False
2023-05-15,-25799.789998020253,5773.410505000892,-31573.200503021144,0.0,0.0,0.0,5773.410505000892,-31573.200503021144,-25799.789998020253,6642.818590883978,0.25,0.02,-0.05984246812214218,0.07984246812214219,0.08,IM2306,6607.96728920585,0.08767123287671233,200.0,2.0,True,False,False,False
2023-05-16,-28305.86927205031,8014.918929907166,-36320.788201957475,0.0,0.0,0.0,8014.918929907166,-36320.788201957475,-28305.86927205031,6629.797103867403,0.25,0.02,-0.0598473826381715,0.0798473826381715,0.08,IM2306,6596.098319958509,0.08493150684931507,200.0,2.0,True,False,False,False
2023-05-17,-30236.72093585438,10833.287379907499,-41070.00831576188,0.0,0.0,0.0,10833.287379907499,-41070.00831576188,-30236.72093585438,6616.775616850829,0.25,0.02,-0.0598522976925819,0.0798522976925819,0.08,IM2306,6584.225269673998,0.0821917808219178,200.0,2.0,True,False,False,False
