date,trade_type,instrument_type,contract,quantity,price,multiplier,notional,transaction_cost,reason
2023-05-04,hedge_rebalance,futures,IM2305,2.0,6717.385147125124,200.0,2686954.0588500495,0.0,delta_rebalance
2023-05-15,roll_close,futures,IM2305,-2.0,6638.452145867571,200.0,2655380.8583470285,0.0,futures_roll
2023-05-15,roll_open,futures,IM2306,2.0,6607.96728920585,200.0,2643186.91568234,0.0,futures_roll
2023-05-24,hedge_rebalance,futures,IM2306,1.0,6526.9442589343635,200.0,1305388.8517868726,0.0,delta_rebalance
2023-06-12,roll_close,futures,IM2306,-3.0,6378.193590722945,200.0,3826916.1544337673,0.0,futures_roll
2023-06-12,roll_open,futures,IM2307,3.0,6341.602497432899,200.0,3804961.49845974,0.0,futures_roll
2023-06-15,hedge_rebalance,futures,IM2307,1.0,6305.896666564789,200.0,1261179.3333129578,0.0,delta_rebalance
2023-06-19,hedge_rebalance,futures,IM2307,-11.0,6284.138032523962,200.0,13825103.671552716,0.0,delta_rebalance
2023-06-20,hedge_rebalance,futures,IM2307,11.0,6272.215826694553,200.0,13798874.818728015,0.0,delta_rebalance
2023-07-17,roll_close,futures,IM2307,-4.0,6078.896252306625,200.0,4863117.0018453,0.0,futures_roll
2023-07-17,roll_open,futures,IM2308,4.0,6050.9809677130015,200.0,4840784.7741704015,0.0,futures_roll
2023-07-21,hedge_rebalance,futures,IM2308,1.0,6003.114242401691,200.0,1200622.8484803382,0.0,delta_rebalance
2023-08-14,roll_close,futures,IM2308,-5.0,5818.637697161998,200.0,5818637.697161999,0.0,futures_roll
2023-08-14,roll_open,futures,IM2309,5.0,5791.917562367491,200.0,5791917.5623674905,0.0,futures_roll
2023-09-11,roll_close,futures,IM2309,-5.0,5558.379142017373,200.0,5558379.142017373,0.0,futures_roll
2023-09-11,roll_open,futures,IM2310,5.0,5526.491246669883,200.0,5526491.246669884,0.0,futures_roll
2023-10-16,roll_close,futures,IM2310,-5.0,5311.133514629978,200.0,5311133.514629978,0.0,futures_roll
2023-10-16,roll_open,futures,IM2311,5.0,5286.743921943746,200.0,5286743.921943746,0.0,futures_roll
2023-11-13,roll_close,futures,IM2311,-5.0,5050.8749594853525,200.0,5050874.959485352,0.0,futures_roll
2023-11-13,roll_open,futures,IM2312,5.0,5027.680516598235,200.0,5027680.516598236,0.0,futures_roll
2023-12-11,roll_close,futures,IM2312,-5.0,4790.616404340725,200.0,4790616.404340725,0.0,futures_roll
2023-12-11,roll_open,futures,IM2401,5.0,4763.133091193407,200.0,4763133.091193407,0.0,futures_roll
2023-12-19,hedge_rebalance,futures,IM2401,-1.0,4691.669259566447,200.0,938333.8519132894,0.0,delta_rebalance
2024-01-15,roll_close,futures,IM2401,-4.0,4478.306138167173,200.0,3582644.910533739,0.0,futures_roll
2024-01-15,roll_open,futures,IM2402,4.0,4457.74102483811,200.0,3566192.8198704883,0.0,futures_roll
2024-02-19,roll_close,futures,IM2402,-4.0,4359.128761678597,200.0,3487303.009342877,0.0,futures_roll_missing_old_contract
2024-02-19,roll_open,futures,IM2403,4.0,4359.128761678597,200.0,3487303.009342877,0.0,futures_roll_missing_old_contract
2024-03-11,roll_close,futures,IM2403,-4.0,4374.202716109324,200.0,3499362.172887459,0.0,futures_roll
2024-03-11,roll_open,futures,IM2404,4.0,4349.108328901082,200.0,3479286.663120866,0.0,futures_roll
2024-04-15,roll_close,futures,IM2404,-4.0,4374.202716109324,200.0,3499362.172887459,0.0,futures_roll
2024-04-15,roll_open,futures,IM2405,4.0,4354.115662699906,200.0,3483292.530159925,0.0,futures_roll
2024-05-13,roll_close,futures,IM2405,-4.0,4374.202716109324,200.0,3499362.172887459,0.0,futures_roll
2024-05-13,roll_open,futures,IM2406,4.0,4349.108328901082,200.0,3479286.663120866,0.0,futures_roll
2024-05-21,hedge_rebalance,futures,IM2406,-13.0,4354.831466571934,200.0,11322561.813087028,0.0,delta_rebalance
2024-05-22,hedge_rebalance,futures,IM2406,13.0,4355.547388120022,200.0,11324423.209112057,0.0,delta_rebalance
2024-06-17,roll_close,futures,IM2406,-4.0,4374.202716109324,200.0,3499362.172887459,0.0,futures_roll
2024-06-17,roll_open,futures,IM2407,4.0,4354.115662699906,200.0,3483292.530159925,0.0,futures_roll
2024-07-11,hedge_rebalance,futures,IM2407,3.0,4371.327473410883,200.0,2622796.48404653,0.0,delta_rebalance
2024-07-12,hedge_rebalance,futures,IM2407,-3.0,4372.046106854218,200.0,2623227.664112531,0.0,delta_rebalance
2024-07-15,roll_close,futures,IM2407,-4.0,4374.202716109324,200.0,3499362.172887459,0.0,futures_roll
2024-07-15,roll_open,futures,IM2408,4.0,4354.115662699906,200.0,3483292.530159925,0.0,futures_roll
2024-08-12,roll_close,futures,IM2408,-4.0,4374.202716109324,200.0,3499362.172887459,0.0,futures_roll
2024-08-12,roll_open,futures,IM2409,4.0,4349.108328901082,200.0,3479286.663120866,0.0,futures_roll
2024-08-26,hedge_rebalance,futures,IM2409,6.0,4359.128761678597,200.0,5230954.514014317,0.0,delta_rebalance
2024-08-27,hedge_rebalance,futures,IM2409,-6.0,4359.845389689424,200.0,5231814.467627309,0.0,delta_rebalance
2024-09-18,roll_close,futures,IM2409,-4.0,4375.641046577906,200.0,3500512.837262325,0.0,futures_roll
2024-09-18,roll_open,futures,IM2410,4.0,4355.547388120022,200.0,3484437.910496018,0.0,futures_roll
2024-10-14,roll_close,futures,IM2410,-4.0,4374.202716109324,200.0,3499362.172887459,0.0,futures_roll
2024-10-14,roll_open,futures,IM2411,4.0,4354.115662699906,200.0,3483292.530159925,0.0,futures_roll
2024-10-24,hedge_rebalance,futures,IM2411,-1.0,4361.278999165091,200.0,872255.7998330181,0.0,delta_rebalance
2024-11-11,roll_close,futures,IM2411,-3.0,4374.202716109324,200.0,2624521.629665594,0.0,futures_roll
2024-11-11,roll_open,futures,IM2412,3.0,4349.108328901082,200.0,2609464.9973406494,0.0,futures_roll
2024-11-18,hedge_rebalance,futures,IM2412,1.0,4354.115662699906,200.0,870823.1325399813,0.0,delta_rebalance
2024-11-27,hedge_rebalance,futures,IM2412,-1.0,4360.5621355118,200.0,872112.4271023601,0.0,delta_rebalance
