date,price,delta,gamma,product_delta,product_gamma,product_position_delta,product_position_gamma,pre_hedge_contracts,post_hedge_contracts,futures_multiplier,pre_hedge_futures_delta,post_hedge_futures_delta,pre_hedge_delta,post_hedge_delta,pre_hedge_gamma,post_hedge_gamma,pre_hedge_delta_cash_1pct,post_hedge_delta_cash_1pct,pre_hedge_gamma_cash_1pct,post_hedge_gamma_cash_1pct,delta_cash_1pct,gamma_cash_1pct,vega,theta,rho,dividend_sensitivity,basis_sensitivity
2023-05-04,1.318767317570746e-10,240.15098045453814,-0.0356626208858001,240.15098045453814,-0.0356626208858001,-240.15098045453814,0.0356626208858001,0.0,1.0,200.0,0.0,200.0,-240.15098045453814,-40.15098045453814,0.0356626208858001,0.0356626208858001,-16171.692577004658,-2703.7545770046577,16171.692782336322,16171.692782336322,-2703.7545770046577,16171.692782336322,,,,,
2023-05-05,-1203.04668383923,239.69224794748393,-0.035663461398217744,239.69224794748393,-0.035663461398217744,-239.69224794748393,0.035663461398217744,1.0,1.0,200.0,200.0,200.0,-39.692247947483935,-39.692247947483935,0.035663461398217744,0.035663461398217744,-2667.6951512736364,-2667.6951512736364,16109.590462292537,16109.590462292537,-2667.6951512736364,16109.590462292537,,,,,
2023-05-08,1546.9626186755736,237.38462209830084,-0.03538867640430809,237.38462209830084,-0.03538867640430809,-237.38462209830084,0.03538867640430809,1.0,1.0,200.0,200.0,200.0,-37.38462209830084,-37.38462209830084,0.03538867640430809,0.03538867640430809,-2507.7327954412767,-2507.7327954412767,15923.58493985557,15923.58493985557,-2507.7327954412767,15923.58493985557,,,,,
2023-05-09,153.08579527699476,268.83060518245696,-0.04015450919136976,268.83060518245696,-0.04015450919136976,-268.83060518245696,0.04015450919136976,1.0,1.0,200.0,200.0,200.0,-68.83060518245696,-68.83060518245696,0.04015450919136976,0.04015450919136976,-4608.143310547255,-4608.143310547255,17997.952432779122,17997.952432779122,-4608.143310547255,17997.952432779122,,,,,
2023-05-10,-1320.8731768379184,268.8235703804031,-0.040231708480479196,268.8235703804031,-0.040231708480479196,-268.8235703804031,0.040231708480479196,1.0,1.0,200.0,200.0,200.0,-68.82357038040311,-68.82357038040311,0.040231708480479196,0.040231708480479196,-4598.710484983818,-4598.710484983818,17962.476633329057,17962.476633329057,-4598.710484983818,17962.476633329057,,,,,
2023-05-11,-2763.411036828593,268.82588808270634,-0.04031061062862497,268.82588808270634,-0.04031061062862497,-268.82588808270634,0.04031061062862497,1.0,1.0,200.0,200.0,200.0,-68.82588808270634,-68.82588808270634,0.04031061062862497,0.04031061062862497,-4589.90319706048,-4589.90319706048,17927.62591321662,17927.62591321662,-4589.90319706048,17927.62591321662,,,,,
2023-05-12,-7988.065415670503,273.667654135129,-0.04111692062636845,273.667654135129,-0.04111692062636845,-273.667654135129,0.04111692062636845,1.0,1.0,200.0,200.0,200.0,-73.667654135129,-73.667654135129,0.04111692062636845,0.04111692062636845,-4903.20124837508,-4903.20124837508,18214.881008134398,18214.881008134398,-4903.20124837508,18214.881008134398,,,,,
2023-05-15,-5173.2301467640455,273.05049959893785,-0.04110461366320359,273.05049959893785,-0.04110461366320359,-273.05049959893785,0.04110461366320359,1.0,1.0,200.0,200.0,200.0,-73.05049959893785,-73.05049959893785,0.04110461366320359,0.04110461366320359,-4852.612168091869,-4852.612168091869,18138.248832656245,18138.248832656245,-4852.612168091869,18138.248832656245,,,,,
2023-05-16,-6540.582707951904,308.2513703822831,-0.046494842326293286,308.2513703822831,-0.046494842326293286,-308.2513703822831,0.046494842326293286,1.0,2.0,200.0,200.0,400.0,-108.25137038228308,91.74862961771692,0.046494842326293286,0.046494842326293286,-7176.8462185013805,6082.747989233427,20436.440467165085,20436.440467165085,6082.747989233427,20436.440467165085,,,,,
2023-05-17,-8301.521917389331,309.05855067678357,-0.04670832973309546,309.05855067678357,-0.04670832973309546,-309.05855067678357,0.04670832973309546,2.0,2.0,200.0,400.0,400.0,90.94144932321643,90.94144932321643,0.04670832973309546,0.04670832973309546,6017.391644429338,6017.391644429338,20449.709936656287,20449.709936656287,6017.391644429338,20449.709936656287,,,,,
