date,portfolio_value,product_mtm,hedge_mtm,cash,cashflows,transaction_costs,product_pnl,hedge_pnl,total_pnl,spot,volatility,rate,basis_yield,implied_q,pricing_q,active_contract,futures_price,futures_ttm,futures_multiplier,futures_contracts,alive,knocked_in,knocked_out,matured
2023-05-04,-1.318767317570746e-10,-1.318767317570746e-10,0.0,0.0,0.0,0.0,-1.318767317570746e-10,0.0,-1.318767317570746e-10,6733.969,0.25,0.02,-0.05992608815920072,0.07992608815920071,0.08,IM2305,6717.385147125124,0.0410958904109589,200.0,1.0,True,False,False,False
2023-05-05,-1174.4004674377807,1203.04668383923,-2377.4471512770106,0.0,0.0,0.0,1203.04668383923,-2377.4471512770106,-1174.4004674377807,6720.947512983425,0.25,0.02,-0.059931011836682924,0.07993101183668293,0.08,IM2305,6705.497911368739,0.038356164383561646,200.0,1.0,True,False,False,False
2023-05-08,-5862.475007302968,-1546.9626186755736,-4315.512388627394,0.0,0.0,0.0,-1546.9626186755736,-4315.512388627394,-5862.475007302968,6707.926025966851,0.25,0.02,-0.05994578610644892,0.07994578610644892,0.08,IM2305,6695.807585181987,0.030136986301369864,200.0,1.0,True,False,False,False
2023-05-09,-6848.463832965528,-153.08579527699476,-6695.378037688533,0.0,0.0,0.0,-153.08579527699476,-6695.378037688533,-6848.463832965528,6694.904538950276,0.25,0.02,-0.05995071194236269,0.0799507119423627,0.08,IM2305,6683.908256936681,0.0273972602739726,200.0,1.0,True,False,False,False
2023-05-10,-7755.189188518929,1320.8731768379184,-9076.062365356847,0.0,0.0,0.0,1320.8731768379184,-9076.062365356847,-7755.189188518929,6681.883051933702,0.25,0.02,-0.059955638318049655,0.07995563831804965,0.08,IM2305,6672.0048352983395,0.024657534246575342,200.0,1.0,True,False,False,False
2023-05-11,-8694.15453966124,2763.411036828593,-11457.565576489833,0.0,0.0,0.0,2763.411036828593,-11457.565576489833,-8694.15453966124,6668.861564917127,0.25,0.02,-0.05996056523357491,0.0799605652335749,0.08,IM2305,6660.0973192426745,0.021917808219178082,200.0,1.0,True,False,False,False
2023-05-12,-5851.822460319777,7988.065415670503,-13839.88787599028,0.0,0.0,0.0,7988.065415670503,-13839.88787599028,-5851.822460319777,6655.840077900552,0.25,0.02,-0.0599654926890052,0.0799654926890052,0.08,IM2305,6648.185707745172,0.019178082191780823,200.0,1.0,True,False,False,False
2023-05-15,-10613.370104746526,5173.2301467640455,-15786.600251510572,0.0,0.0,0.0,5173.2301467640455,-15786.600251510572,-10613.370104746526,6642.818590883978,0.25,0.02,-0.05984246812214218,0.07984246812214219,0.08,IM2306,6607.96728920585,0.08767123287671233,200.0,1.0,True,False,False,False
2023-05-16,-11619.811393026652,6540.582707951904,-18160.394100978556,0.0,0.0,0.0,6540.582707951904,-18160.394100978556,-11619.811393026652,6629.797103867403,0.25,0.02,-0.0598473826381715,0.0798473826381715,0.08,IM2306,6596.098319958509,0.08493150684931507,200.0,2.0,True,False,False,False
2023-05-17,-14608.092297393629,8301.521917389331,-22909.61421478296,0.0,0.0,0.0,8301.521917389331,-22909.61421478296,-14608.092297393629,6616.775616850829,0.25,0.02,-0.0598522976925819,0.0798522976925819,0.08,IM2306,6584.225269673998,0.0821917808219178,200.0,2.0,True,False,False,False
2023-05-18,-17629.949177769922,10030.51797410284,-27660.467151872763,0.0,0.0,0.0,10030.51797410284,-27660.467151872763,-17629.949177769922,6603.754129834254,0.25,0.02,-0.05985721328543567,0.07985721328543567,0.08,IM2306,6572.348137331273,0.07945205479452055,200.0,2.0,True,False,False,False
2023-05-19,-24803.837793758536,7609.115526997706,-32412.95332075624,0.0,0.0,0.0,7609.115526997706,-32412.95332075624,-24803.837793758536,6590.732642817679,0.25,0.02,-0.05986212941679835,0.07986212941679835,0.08,IM2306,6560.466921909065,0.07671232876712329,200.0,2.0,True,False,False,False
2023-05-22,-31756.225946612318,4549.522266878233,-36305.74821349055,0.0,0.0,0.0,4549.522266878233,-36305.74821349055,-31756.225946612318,6577.711155801106,0.25,0.02,-0.05987688104261737,0.07987688104261736,0.08,IM2306,6550.734934677229,0.0684931506849315,200.0,2.0,True,False,False,False
