date,trade_type,instrument_type,contract,quantity,price,multiplier,notional,transaction_cost,reason
2023-05-04,hedge_rebalance,futures,IM2305,1.0,6717.385147125124,200.0,1343477.0294250248,0.0,delta_rebalance
2023-05-15,roll_close,futures,IM2305,-1.0,6638.452145867571,200.0,1327690.4291735142,0.0,futures_roll
2023-05-15,roll_open,futures,IM2306,1.0,6607.96728920585,200.0,1321593.45784117,0.0,futures_roll
2023-05-16,hedge_rebalance,futures,IM2306,1.0,6596.098319958509,200.0,1319219.6639917018,0.0,delta_rebalance
2023-06-12,roll_close,futures,IM2306,-2.0,6378.193590722945,200.0,2551277.436289178,0.0,futures_roll
2023-06-12,roll_open,futures,IM2307,2.0,6341.602497432899,200.0,2536640.9989731596,0.0,futures_roll
2023-06-19,hedge_rebalance,futures,IM2307,7.0,6284.138032523962,200.0,8797793.245533546,0.0,delta_rebalance
2023-06-20,hedge_rebalance,futures,IM2307,-7.0,6272.215826694553,200.0,8781102.157372372,0.0,delta_rebalance
2023-06-26,hedge_rebalance,futures,IM2307,1.0,6252.469005807592,200.0,1250493.8011615183,0.0,delta_rebalance
2023-07-17,roll_close,futures,IM2307,-3.0,6078.896252306625,200.0,3647337.7513839747,0.0,futures_roll
2023-07-17,roll_open,futures,IM2308,3.0,6050.9809677130015,200.0,3630588.5806278004,0.0,futures_roll
2023-08-10,hedge_rebalance,futures,IM2308,1.0,5840.821749427885,200.0,1168164.349885577,0.0,delta_rebalance
2023-08-14,roll_close,futures,IM2308,-4.0,5818.637697161998,200.0,4654910.157729599,0.0,futures_roll
2023-08-14,roll_open,futures,IM2309,4.0,5791.917562367491,200.0,4633534.049893993,0.0,futures_roll
2023-09-11,roll_close,futures,IM2309,-4.0,5558.379142017373,200.0,4446703.313613898,0.0,futures_roll
2023-09-11,roll_open,futures,IM2310,4.0,5526.491246669883,200.0,4421192.997335907,0.0,futures_roll
2023-10-16,roll_close,futures,IM2310,-4.0,5311.133514629978,200.0,4248906.811703983,0.0,futures_roll
2023-10-16,roll_open,futures,IM2311,4.0,5286.743921943746,200.0,4229395.137554997,0.0,futures_roll
2023-11-06,hedge_rebalance,futures,IM2311,1.0,5110.056149312487,200.0,1022011.2298624974,0.0,delta_rebalance
2023-11-08,hedge_rebalance,futures,IM2311,-1.0,5085.731970781419,200.0,1017146.3941562837,0.0,delta_rebalance
2023-11-09,hedge_rebalance,futures,IM2311,1.0,5073.563676109274,200.0,1014712.7352218548,0.0,delta_rebalance
2023-11-13,roll_close,futures,IM2311,-5.0,5050.8749594853525,200.0,5050874.959485352,0.0,futures_roll
2023-11-13,roll_open,futures,IM2312,5.0,5027.680516598235,200.0,5027680.516598236,0.0,futures_roll
