date,price,delta,gamma,product_delta,product_gamma,product_position_delta,product_position_gamma,pre_hedge_contracts,post_hedge_contracts,futures_multiplier,pre_hedge_futures_delta,post_hedge_futures_delta,pre_hedge_delta,post_hedge_delta,pre_hedge_gamma,post_hedge_gamma,pre_hedge_delta_cash_1pct,post_hedge_delta_cash_1pct,pre_hedge_gamma_cash_1pct,post_hedge_gamma_cash_1pct,delta_cash_1pct,gamma_cash_1pct,vega,theta,rho,dividend_sensitivity,basis_sensitivity
2023-05-04,-5.748006515204906e-10,362.0059742049516,-0.05375818756351531,362.0059742049516,-0.05375818756351531,-362.0059742049516,0.05375818756351531,0.0,2.0,200.0,0.0,400.0,-362.0059742049516,37.9940257950484,0.05375818756351531,0.05375818756351531,-24377.37008110944,2558.505918890563,24377.36970023252,24377.36970023252,2558.505918890563,24377.36970023252,,,,,
2023-05-05,4224.244241245504,362.41856277360097,-0.05374522459800658,362.41856277360097,-0.05374522459800658,-362.41856277360097,0.05374522459800658,2.0,2.0,200.0,400.0,400.0,37.58143722639903,37.58143722639903,0.05374522459800658,0.05374522459800658,2534.2178054152264,2534.2178054152264,24438.86252694938,24438.86252694938,2534.2178054152264,24438.86252694938,,,,,
2023-05-08,15878.804416195602,359.52053218390154,-0.05324202372824543,359.52053218390154,-0.05324202372824543,-359.52053218390154,0.05324202372824543,2.0,2.0,200.0,400.0,400.0,40.47946781609846,40.47946781609846,0.05324202372824543,0.05324202372824543,2733.4048550239786,2733.4048550239786,24276.880982142757,24276.880982142757,2733.4048550239786,24276.880982142757,,,,,
2023-05-09,22038.291409665784,358.21268246503746,-0.05297536854384448,358.21268246503746,-0.05297536854384448,-358.21268246503746,0.05297536854384448,2.0,2.0,200.0,400.0,400.0,41.78731753496254,41.78731753496254,0.05297536854384448,0.05297536854384448,2825.605001866063,2825.605001866063,24221.882977144563,24221.882977144563,2825.605001866063,24221.882977144563,,,,,
2023-05-10,28211.50379478005,356.9044245012729,-0.05270938960428024,356.9044245012729,-0.05270938960428024,-356.9044245012729,0.05270938960428024,2.0,2.0,200.0,400.0,400.0,43.0955754987271,43.0955754987271,0.05270938960428024,0.05270938960428024,2918.0760795081214,2918.0760795081214,24166.615854483098,24166.615854483098,2918.0760795081214,24166.615854483098,,,,,
2023-05-11,34400.18635453764,352.39540422841884,-9.497817210789401,352.39540422841884,-9.497817210789401,-352.39540422841884,9.497817210789401,2.0,2.0,200.0,400.0,400.0,47.60459577158116,47.60459577158116,9.497817210789401,9.497817210789401,3227.817387039619,3227.817387039619,4366605.494840768,4366605.494840768,3227.817387039619,4366605.494840768,,,,,
2023-05-12,40211.66836122163,308.4856765186492,-0.04543385462436803,308.4856765186492,-0.04543385462436803,-308.4856765186492,0.04543385462436803,2.0,2.0,200.0,400.0,400.0,91.5143234813508,91.5143234813508,0.04543385462436803,0.04543385462436803,6213.616998438585,6213.616998438585,20945.483862305988,20945.483862305988,6213.616998438585,20945.483862305988,,,,,
2023-05-15,51977.33067679806,303.1408311026745,-0.04458558838870903,303.1408311026745,-0.04458558838870903,-303.1408311026745,0.04458558838870903,2.0,2.0,200.0,400.0,400.0,96.8591688973255,96.8591688973255,0.04458558838870903,0.04458558838870903,6585.528927715178,6585.528927715178,20610.77628604835,20610.77628604835,6585.528927715178,20610.77628604835,,,,,
2023-05-16,57835.333224870796,300.9985552279866,-0.04421002698950331,300.9985552279866,-0.04421002698950331,-300.9985552279866,0.04421002698950331,2.0,2.0,200.0,400.0,400.0,99.00144477201337,99.00144477201337,0.04421002698950331,0.04421002698950331,6740.392087797838,6740.392087797838,20493.117743171748,20493.117743171748,6740.392087797838,20493.117743171748,,,,,
2023-05-17,63707.214780170914,298.81517711963414,-0.04382946114157597,298.81517711963414,-0.04382946114157597,-298.81517711963414,0.04382946114157597,2.0,1.0,200.0,400.0,200.0,101.18482288036586,-98.81517711963414,0.04382946114157597,0.04382946114157597,6898.455974873743,-6736.901143910789,20372.258288261946,20372.258288261946,-6736.901143910789,20372.258288261946,,,,,
