scenario_id,variant,tenor,r,q,vol,ko_barrier,ki_barrier,product_protection_type,product_protection_rate,interest_protection_type,interest_protection_rate,quoted_ko_rate,product_pv,interest_pv,combined_pv,protected_snowball_pv,quote_ko_sensitivity,quote_ki_sensitivity,interest_ko_sensitivity,interest_ki_sensitivity
1,standard,1.0,0.01,0.05,0.15,97.5,65.0,NONE,0.0,FULL,0.0,0.018683922887968434,0.2438038656837591,0.2438038656837591,0.0,99.75619613431624,,,,
2,standard,1.0,0.01,0.05,0.15,97.5,70.0,NONE,0.0,FULL,0.0,0.03469172729007338,0.2438038656837591,0.2438038656837591,0.0,99.75619613431624,,,,
3,standard,1.0,0.01,0.05,0.15,97.5,75.0,NONE,0.0,FULL,0.0,0.07007380958696885,0.2438038656837591,0.2438038656837591,0.0,99.75619613431624,,,,
4,standard,1.0,0.01,0.05,0.15,97.5,80.0,NONE,0.0,FULL,0.0,0.12424840732555222,0.2438038656837591,0.2438038656837591,0.0,99.75619613431624,,,,
5,standard,1.0,0.01,0.05,0.15,100.0,65.0,NONE,0.0,FULL,0.0,0.018122357197886237,0.3734263824074162,0.3734263824074162,0.0,99.62657361759258,,,,
6,standard,1.0,0.01,0.05,0.15,100.0,70.0,NONE,0.0,FULL,0.0,0.032972439620577776,0.3734263824074162,0.3734263824074162,0.0,99.62657361759258,,,,
7,standard,1.0,0.01,0.05,0.15,100.0,75.0,NONE,0.0,FULL,0.0,0.06773686121614146,0.3734263824074162,0.3734263824074162,0.0,99.62657361759258,,,,
8,standard,1.0,0.01,0.05,0.15,100.0,80.0,NONE,0.0,FULL,0.0,0.12675834705641412,0.3734263824074162,0.3734263824074162,0.0,99.62657361759258,,,,
9,standard,1.0,0.01,0.05,0.15,102.5,65.0,NONE,0.0,FULL,0.0,0.01624383346573423,0.5093199436223017,0.5093199436223017,0.0,99.4906800563777,,,,
10,standard,1.0,0.01,0.05,0.15,102.5,70.0,NONE,0.0,FULL,0.0,0.029601029256304284,0.5093199436223017,0.5093199436223017,0.0,99.4906800563777,,,,
11,standard,1.0,0.01,0.05,0.15,102.5,75.0,NONE,0.0,FULL,0.0,0.06054213544871638,0.5093199436223017,0.5093199436223017,0.0,99.4906800563777,,,,
12,standard,1.0,0.01,0.05,0.15,102.5,80.0,NONE,0.0,FULL,0.0,0.11558924172804451,0.5093199436223017,0.5093199436223017,0.0,99.4906800563777,,,,
13,standard,1.0,0.01,0.05,0.15,105.0,65.0,NONE,0.0,FULL,0.0,0.015325823421725041,0.6608835274762725,0.6608835274762725,0.0,99.33911647252373,,,,
14,standard,1.0,0.01,0.05,0.15,105.0,70.0,NONE,0.0,FULL,0.0,0.02627983021073253,0.6608835274762725,0.6608835274762725,0.0,99.33911647252373,,,,
15,standard,1.0,0.01,0.05,0.15,105.0,75.0,NONE,0.0,FULL,0.0,0.052948744465680334,0.6608835274762725,0.6608835274762725,0.0,99.33911647252373,,,,
16,standard,1.0,0.01,0.05,0.15,105.0,80.0,NONE,0.0,FULL,0.0,0.10075576942100248,0.6608835274762725,0.6608835274762725,0.0,99.33911647252373,,,,
17,standard,1.0,0.01,0.05,0.216667,97.5,65.0,NONE,0.0,FULL,0.0,0.07560835019761382,0.27643337263812384,0.27643337263812384,0.0,99.72356662736188,,,,
18,standard,1.0,0.01,0.05,0.216667,97.5,70.0,NONE,0.0,FULL,0.0,0.12354121648804597,0.27643337263812384,0.27643337263812384,0.0,99.72356662736188,,,,
19,standard,1.0,0.01,0.05,0.216667,97.5,75.0,NONE,0.0,FULL,0.0,0.1911631434980679,0.27643337263812384,0.27643337263812384,0.0,99.72356662736188,,,,
20,standard,1.0,0.01,0.05,0.216667,97.5,80.0,NONE,0.0,FULL,0.0,0.25585698404756396,0.27643337263812384,0.27643337263812384,0.0,99.72356662736188,,,,
21,standard,1.0,0.01,0.05,0.216667,100.0,65.0,NONE,0.0,FULL,0.0,0.07241066652919564,0.36040976262037816,0.36040976262037816,0.0,99.63959023737962,,,,
22,standard,1.0,0.01,0.05,0.216667,100.0,70.0,NONE,0.0,FULL,0.0,0.11967987693051169,0.36040976262037816,0.36040976262037816,0.0,99.63959023737962,,,,
23,standard,1.0,0.01,0.05,0.216667,100.0,75.0,NONE,0.0,FULL,0.0,0.19432561519447666,0.36040976262037816,0.36040976262037816,0.0,99.63959023737962,,,,
24,standard,1.0,0.01,0.05,0.216667,100.0,80.0,NONE,0.0,FULL,0.0,0.280227549901058,0.36040976262037816,0.36040976262037816,0.0,99.63959023737962,,,,
25,standard,1.0,0.01,0.05,0.216667,102.5,65.0,NONE,0.0,FULL,0.0,0.06621926798754754,0.4623195508935254,0.4623195508935254,0.0,99.53768044910647,,,,
26,standard,1.0,0.01,0.05,0.216667,102.5,70.0,NONE,0.0,FULL,0.0,0.11074813696990195,0.4623195508935254,0.4623195508935254,0.0,99.53768044910647,,,,
27,standard,1.0,0.01,0.05,0.216667,102.5,75.0,NONE,0.0,FULL,0.0,0.18587070886382465,0.4623195508935254,0.4623195508935254,0.0,99.53768044910647,,,,
28,standard,1.0,0.01,0.05,0.216667,102.5,80.0,NONE,0.0,FULL,0.0,0.28242648866471104,0.4623195508935254,0.4623195508935254,0.0,99.53768044910647,,,,
29,standard,1.0,0.01,0.05,0.216667,105.0,65.0,NONE,0.0,FULL,0.0,0.0603624984669946,0.5679720491135356,0.5679720491135356,0.0,99.43202795088646,,,,
30,standard,1.0,0.01,0.05,0.216667,105.0,70.0,NONE,0.0,FULL,0.0,0.10028219065195225,0.5679720491135356,0.5679720491135356,0.0,99.43202795088646,,,,
31,standard,1.0,0.01,0.05,0.216667,105.0,75.0,NONE,0.0,FULL,0.0,0.17046611646863488,0.5679720491135356,0.5679720491135356,0.0,99.43202795088646,,,,
32,standard,1.0,0.01,0.05,0.216667,105.0,80.0,NONE,0.0,FULL,0.0,0.26541749166314527,0.5679720491135356,0.5679720491135356,0.0,99.43202795088646,,,,
33,standard,1.0,0.01,0.05,0.283333,97.5,65.0,NONE,0.0,FULL,0.0,0.17878277244868976,0.2968459395171692,0.2968459395171692,0.0,99.70315406048283,,,,
34,standard,1.0,0.01,0.05,0.283333,97.5,70.0,NONE,0.0,FULL,0.0,0.2493763039812273,0.2968459395171692,0.2968459395171692,0.0,99.70315406048283,,,,
35,standard,1.0,0.01,0.05,0.283333,97.5,75.0,NONE,0.0,FULL,0.0,0.32292491096425885,0.2968459395171692,0.2968459395171692,0.0,99.70315406048283,,,,
36,standard,1.0,0.01,0.05,0.283333,97.5,80.0,NONE,0.0,FULL,0.0,0.3579509899556176,0.2968459395171692,0.2968459395171692,0.0,99.70315406048283,,,,
