scenario_id,variant,tenor,r,q,vol,ko_barrier,ki_barrier,product_protection_type,product_protection_rate,interest_protection_type,interest_protection_rate,quoted_ko_rate,product_pv,interest_pv,combined_pv,protected_snowball_pv,quote_ko_sensitivity,quote_ki_sensitivity,interest_ko_sensitivity,interest_ki_sensitivity
1,standard,1.0,0.01,0.05,0.15,97.5,65.0,NONE,0.0,FULL,0.0,0.01866743105888756,0.23986577731983516,0.23986577731983516,0.0,99.76013422268016,,,,
2,standard,1.0,0.01,0.05,0.15,97.5,70.0,NONE,0.0,FULL,0.0,0.03603908620058996,0.23986577731983516,0.23986577731983516,0.0,99.76013422268016,,,,
3,standard,1.0,0.01,0.05,0.15,97.5,75.0,NONE,0.0,FULL,0.0,0.0697353547523079,0.23986577731983516,0.23986577731983516,0.0,99.76013422268016,,,,
4,standard,1.0,0.01,0.05,0.15,97.5,80.0,NONE,0.0,FULL,0.0,0.12305064983006028,0.23986577731983516,0.23986577731983516,0.0,99.76013422268016,,,,
5,standard,1.0,0.01,0.05,0.15,100.0,65.0,NONE,0.0,FULL,0.0,0.01745867010046943,0.3733450344186622,0.3733450344186622,0.0,99.62665496558134,,,,
6,standard,1.0,0.01,0.05,0.15,100.0,70.0,NONE,0.0,FULL,0.0,0.03350262322553516,0.3733450344186622,0.3733450344186622,0.0,99.62665496558134,,,,
7,standard,1.0,0.01,0.05,0.15,100.0,75.0,NONE,0.0,FULL,0.0,0.0666698252397474,0.3733450344186622,0.3733450344186622,0.0,99.62665496558134,,,,
8,standard,1.0,0.01,0.05,0.15,100.0,80.0,NONE,0.0,FULL,0.0,0.12541297556974512,0.3733450344186622,0.3733450344186622,0.0,99.62665496558134,,,,
9,standard,1.0,0.01,0.05,0.15,102.5,65.0,NONE,0.0,FULL,0.0,0.016172531100781613,0.5205009161052345,0.5205009161052345,0.0,99.47949908389477,,,,
10,standard,1.0,0.01,0.05,0.15,102.5,70.0,NONE,0.0,FULL,0.0,0.029952600192449132,0.5205009161052345,0.5205009161052345,0.0,99.47949908389477,,,,
11,standard,1.0,0.01,0.05,0.15,102.5,75.0,NONE,0.0,FULL,0.0,0.05942650106515935,0.5205009161052345,0.5205009161052345,0.0,99.47949908389477,,,,
12,standard,1.0,0.01,0.05,0.15,102.5,80.0,NONE,0.0,FULL,0.0,0.11343702110503705,0.5205009161052345,0.5205009161052345,0.0,99.47949908389477,,,,
13,standard,1.0,0.01,0.05,0.15,105.0,65.0,NONE,0.0,FULL,0.0,0.015244222684326863,0.6539191564252036,0.6539191564252036,0.0,99.3460808435748,,,,
14,standard,1.0,0.01,0.05,0.15,105.0,70.0,NONE,0.0,FULL,0.0,0.02708218611007183,0.6539191564252036,0.6539191564252036,0.0,99.3460808435748,,,,
15,standard,1.0,0.01,0.05,0.15,105.0,75.0,NONE,0.0,FULL,0.0,0.05283836002354331,0.6539191564252036,0.6539191564252036,0.0,99.3460808435748,,,,
16,standard,1.0,0.01,0.05,0.15,105.0,80.0,NONE,0.0,FULL,0.0,0.10012757707289713,0.6539191564252036,0.6539191564252036,0.0,99.3460808435748,,,,
17,standard,1.0,0.01,0.05,0.216667,97.5,65.0,NONE,0.0,FULL,0.0,0.07473730247140338,0.2712640826023005,0.2712640826023005,0.0,99.7287359173977,,,,
18,standard,1.0,0.01,0.05,0.216667,97.5,70.0,NONE,0.0,FULL,0.0,0.1240592898624924,0.2712640826023005,0.2712640826023005,0.0,99.7287359173977,,,,
19,standard,1.0,0.01,0.05,0.216667,97.5,75.0,NONE,0.0,FULL,0.0,0.19040547701237165,0.2712640826023005,0.2712640826023005,0.0,99.7287359173977,,,,
20,standard,1.0,0.01,0.05,0.216667,97.5,80.0,NONE,0.0,FULL,0.0,0.25328736586841943,0.2712640826023005,0.2712640826023005,0.0,99.7287359173977,,,,
21,standard,1.0,0.01,0.05,0.216667,100.0,65.0,NONE,0.0,FULL,0.0,0.07105162020609246,0.36563958949869857,0.36563958949869857,0.0,99.6343604105013,,,,
22,standard,1.0,0.01,0.05,0.216667,100.0,70.0,NONE,0.0,FULL,0.0,0.12068182457276168,0.36563958949869857,0.36563958949869857,0.0,99.6343604105013,,,,
23,standard,1.0,0.01,0.05,0.216667,100.0,75.0,NONE,0.0,FULL,0.0,0.19365659833137513,0.36563958949869857,0.36563958949869857,0.0,99.6343604105013,,,,
24,standard,1.0,0.01,0.05,0.216667,100.0,80.0,NONE,0.0,FULL,0.0,0.27993220576668,0.36563958949869857,0.36563958949869857,0.0,99.6343604105013,,,,
25,standard,1.0,0.01,0.05,0.216667,102.5,65.0,NONE,0.0,FULL,0.0,0.06558952524858823,0.4669171787364661,0.4669171787364661,0.0,99.53308282126353,,,,
26,standard,1.0,0.01,0.05,0.216667,102.5,70.0,NONE,0.0,FULL,0.0,0.11220074553561163,0.4669171787364661,0.4669171787364661,0.0,99.53308282126353,,,,
27,standard,1.0,0.01,0.05,0.216667,102.5,75.0,NONE,0.0,FULL,0.0,0.18384617868447825,0.4669171787364661,0.4669171787364661,0.0,99.53308282126353,,,,
28,standard,1.0,0.01,0.05,0.216667,102.5,80.0,NONE,0.0,FULL,0.0,0.28005507461524726,0.4669171787364661,0.4669171787364661,0.0,99.53308282126353,,,,
29,standard,1.0,0.01,0.05,0.216667,105.0,65.0,NONE,0.0,FULL,0.0,0.0602425344304656,0.5644029627825518,0.5644029627825518,0.0,99.43559703721745,,,,
