scenario_id,variant,tenor,r,q,vol,ko_barrier,ki_barrier,product_protection_type,product_protection_rate,interest_protection_type,interest_protection_rate,quoted_ko_rate,product_pv,interest_pv,combined_pv,protected_snowball_pv,quote_ko_sensitivity,quote_ki_sensitivity,interest_ko_sensitivity,interest_ki_sensitivity
1,standard,2.0,0.01,0.05,0.15,95.0,60.0,NONE,0.0,FULL,0.0,0.03801991674417595,0.19227034517419384,0.19227034517419384,0.0,99.8077296548258,,,,
2,standard,2.0,0.01,0.05,0.15,95.0,68.333333,NONE,0.0,FULL,0.0,0.0731844285821502,0.19227034517419384,0.19227034517419384,0.0,99.8077296548258,,,,
3,standard,2.0,0.01,0.05,0.15,95.0,76.666667,NONE,0.0,FULL,0.0,0.1063435519721913,0.19227034517419384,0.19227034517419384,0.0,99.8077296548258,,,,
4,standard,2.0,0.01,0.05,0.15,95.0,85.0,NONE,0.0,FULL,0.0,0.11316774925895363,0.19227034517419384,0.19227034517419384,0.0,99.8077296548258,,,,
5,standard,2.0,0.01,0.05,0.15,100.0,60.0,NONE,0.0,FULL,0.0,0.04551210970452524,0.5751803803690478,0.5751803803690478,0.0,99.42481961963095,,,,
6,standard,2.0,0.01,0.05,0.15,100.0,68.333333,NONE,0.0,FULL,0.0,0.10187276652665586,0.5751803803690478,0.5751803803690478,0.0,99.42481961963095,,,,
7,standard,2.0,0.01,0.05,0.15,100.0,76.666667,NONE,0.0,FULL,0.0,0.18768746325408478,0.5751803803690478,0.5751803803690478,0.0,99.42481961963095,,,,
8,standard,2.0,0.01,0.05,0.15,100.0,85.0,NONE,0.0,FULL,0.0,0.24299400437528257,0.5751803803690478,0.5751803803690478,0.0,99.42481961963095,,,,
9,standard,2.0,0.01,0.05,0.15,105.0,60.0,NONE,0.0,FULL,0.0,0.041668452707769636,1.085825536358982,1.085825536358982,0.0,98.91417446364102,,,,
10,standard,2.0,0.01,0.05,0.15,105.0,68.333333,NONE,0.0,FULL,0.0,0.09408212270667521,1.085825536358982,1.085825536358982,0.0,98.91417446364102,,,,
11,standard,2.0,0.01,0.05,0.15,105.0,76.666667,NONE,0.0,FULL,0.0,0.18808874869620806,1.085825536358982,1.085825536358982,0.0,98.91417446364102,,,,
12,standard,2.0,0.01,0.05,0.15,105.0,85.0,NONE,0.0,FULL,0.0,0.2993239209038842,1.085825536358982,1.085825536358982,0.0,98.91417446364102,,,,
13,standard,2.0,0.01,0.05,0.15,110.0,60.0,NONE,0.0,FULL,0.0,0.039142789577040454,1.451210183628561,1.451210183628561,0.0,98.54878981637144,,,,
14,standard,2.0,0.01,0.05,0.15,110.0,68.333333,NONE,0.0,FULL,0.0,0.08700333968133117,1.451210183628561,1.451210183628561,0.0,98.54878981637144,,,,
15,standard,2.0,0.01,0.05,0.15,110.0,76.666667,NONE,0.0,FULL,0.0,0.17706787029972598,1.451210183628561,1.451210183628561,0.0,98.54878981637144,,,,
16,standard,2.0,0.01,0.05,0.15,110.0,85.0,NONE,0.0,FULL,0.0,0.31603124929519116,1.451210183628561,1.451210183628561,0.0,98.54878981637144,,,,
17,standard,2.0,0.01,0.05,0.216667,95.0,60.0,NONE,0.0,FULL,0.0,0.1163478462980034,0.26516566527561736,0.26516566527561736,0.0,99.73483433472438,,,,
18,standard,2.0,0.01,0.05,0.216667,95.0,68.333333,NONE,0.0,FULL,0.0,0.16665049140712904,0.26516566527561736,0.26516566527561736,0.0,99.73483433472438,,,,
19,standard,2.0,0.01,0.05,0.216667,95.0,76.666667,NONE,0.0,FULL,0.0,0.1844495691268362,0.26516566527561736,0.26516566527561736,0.0,99.73483433472438,,,,
20,standard,2.0,0.01,0.05,0.216667,95.0,85.0,NONE,0.0,FULL,0.0,0.18511468925638735,0.26516566527561736,0.26516566527561736,0.0,99.73483433472438,,,,
21,standard,2.0,0.01,0.05,0.216667,100.0,60.0,NONE,0.0,FULL,0.0,0.1369038297379306,0.5570234567134804,0.5570234567134804,0.0,99.44297654328652,,,,
22,standard,2.0,0.01,0.05,0.216667,100.0,68.333333,NONE,0.0,FULL,0.0,0.2226832227034215,0.5570234567134804,0.5570234567134804,0.0,99.44297654328652,,,,
23,standard,2.0,0.01,0.05,0.216667,100.0,76.666667,NONE,0.0,FULL,0.0,0.28026101481111215,0.5570234567134804,0.5570234567134804,0.0,99.44297654328652,,,,
24,standard,2.0,0.01,0.05,0.216667,100.0,85.0,NONE,0.0,FULL,0.0,0.28942271191255753,0.5570234567134804,0.5570234567134804,0.0,99.44297654328652,,,,
25,standard,2.0,0.01,0.05,0.216667,105.0,60.0,NONE,0.0,FULL,0.0,0.13152432389795765,0.9065660040108412,0.9065660040108412,0.0,99.09343399598916,,,,
26,standard,2.0,0.01,0.05,0.216667,105.0,68.333333,NONE,0.0,FULL,0.0,0.22726976593453546,0.9065660040108412,0.9065660040108412,0.0,99.09343399598916,,,,
27,standard,2.0,0.01,0.05,0.216667,105.0,76.666667,NONE,0.0,FULL,0.0,0.31922811720924993,0.9065660040108412,0.9065660040108412,0.0,99.09343399598916,,,,
28,standard,2.0,0.01,0.05,0.216667,105.0,85.0,NONE,0.0,FULL,0.0,0.35399407017777157,0.9065660040108412,0.9065660040108412,0.0,99.09343399598916,,,,
29,standard,2.0,0.01,0.05,0.216667,110.0,60.0,NONE,0.0,FULL,0.0,0.12303029349582836,1.2100500095761788,1.2100500095761788,0.0,98.78994999042382,,,,
30,standard,2.0,0.01,0.05,0.216667,110.0,68.333333,NONE,0.0,FULL,0.0,0.21660281605765314,1.2100500095761788,1.2100500095761788,0.0,98.78994999042382,,,,
31,standard,2.0,0.01,0.05,0.216667,110.0,76.666667,NONE,0.0,FULL,0.0,0.3298672576462945,1.2100500095761788,1.2100500095761788,0.0,98.78994999042382,,,,
32,standard,2.0,0.01,0.05,0.216667,110.0,85.0,NONE,0.0,FULL,0.0,0.402581432322556,1.2100500095761788,1.2100500095761788,0.0,98.78994999042382,,,,
33,standard,2.0,0.01,0.05,0.283333,95.0,60.0,NONE,0.0,FULL,0.0,0.21211168475859274,0.31921074560024465,0.31921074560024465,0.0,99.68078925439976,,,,
34,standard,2.0,0.01,0.05,0.283333,95.0,68.333333,NONE,0.0,FULL,0.0,0.24671029323894753,0.31921074560024465,0.31921074560024465,0.0,99.68078925439976,,,,
35,standard,2.0,0.01,0.05,0.283333,95.0,76.666667,NONE,0.0,FULL,0.0,0.25112455133489403,0.31921074560024465,0.31921074560024465,0.0,99.68078925439976,,,,
36,standard,2.0,0.01,0.05,0.283333,95.0,85.0,NONE,0.0,FULL,0.0,0.25115158842623836,0.31921074560024465,0.31921074560024465,0.0,99.68078925439976,,,,
37,standard,2.0,0.01,0.05,0.283333,100.0,60.0,NONE,0.0,FULL,0.0,0.2505446060642114,0.553295232875854,0.553295232875854,0.0,99.44670476712415,,,,
38,standard,2.0,0.01,0.05,0.283333,100.0,68.333333,NONE,0.0,FULL,0.0,0.320275527541683,0.553295232875854,0.553295232875854,0.0,99.44670476712415,,,,
39,standard,2.0,0.01,0.05,0.283333,100.0,76.666667,NONE,0.0,FULL,0.0,0.3397871101405648,0.553295232875854,0.553295232875854,0.0,99.44670476712415,,,,
40,standard,2.0,0.01,0.05,0.283333,100.0,85.0,NONE,0.0,FULL,0.0,0.340610810357281,0.553295232875854,0.553295232875854,0.0,99.44670476712415,,,,
41,standard,2.0,0.01,0.05,0.283333,105.0,60.0,NONE,0.0,FULL,0.0,0.2553305518401276,0.8219245773577057,0.8219245773577057,0.0,99.1780754226423,,,,
42,standard,2.0,0.01,0.05,0.283333,105.0,68.333333,NONE,0.0,FULL,0.0,0.35174432696682717,0.8219245773577057,0.8219245773577057,0.0,99.1780754226423,,,,
43,standard,2.0,0.01,0.05,0.283333,105.0,76.666667,NONE,0.0,FULL,0.0,0.39726256207184746,0.8219245773577057,0.8219245773577057,0.0,99.1780754226423,,,,
44,standard,2.0,0.01,0.05,0.283333,105.0,85.0,NONE,0.0,FULL,0.0,0.4030056123584834,0.8219245773577057,0.8219245773577057,0.0,99.1780754226423,,,,
45,standard,2.0,0.01,0.05,0.283333,110.0,60.0,NONE,0.0,FULL,0.0,0.24779964247065683,1.069770508916477,1.069770508916477,0.0,98.93022949108352,,,,
46,standard,2.0,0.01,0.05,0.283333,110.0,68.333333,NONE,0.0,FULL,0.0,0.3595382059847679,1.069770508916477,1.069770508916477,0.0,98.93022949108352,,,,
47,standard,2.0,0.01,0.05,0.283333,110.0,76.666667,NONE,0.0,FULL,0.0,0.4344986212108314,1.069770508916477,1.069770508916477,0.0,98.93022949108352,,,,
48,standard,2.0,0.01,0.05,0.283333,110.0,85.0,NONE,0.0,FULL,0.0,0.45366350083959184,1.069770508916477,1.069770508916477,0.0,98.93022949108352,,,,
49,standard,2.0,0.01,0.05,0.35,95.0,60.0,NONE,0.0,FULL,0.0,0.29774262102882776,0.3592625487746801,0.3592625487746801,0.0,99.64073745122532,,,,
50,standard,2.0,0.01,0.05,0.35,95.0,68.333333,NONE,0.0,FULL,0.0,0.3121260999015929,0.3592625487746801,0.3592625487746801,0.0,99.64073745122532,,,,
51,standard,2.0,0.01,0.05,0.35,95.0,76.666667,NONE,0.0,FULL,0.0,0.312811135900759,0.3592625487746801,0.3592625487746801,0.0,99.64073745122532,,,,
52,standard,2.0,0.01,0.05,0.35,95.0,85.0,NONE,0.0,FULL,0.0,0.3128117207878615,0.3592625487746801,0.3592625487746801,0.0,99.64073745122532,,,,
53,standard,2.0,0.01,0.05,0.35,100.0,60.0,NONE,0.0,FULL,0.0,0.3544087832059791,0.5556693449357226,0.5556693449357226,0.0,99.44433065506428,,,,
54,standard,2.0,0.01,0.05,0.35,100.0,68.333333,NONE,0.0,FULL,0.0,0.39075491442333066,0.5556693449357226,0.5556693449357226,0.0,99.44433065506428,,,,
55,standard,2.0,0.01,0.05,0.35,100.0,76.666667,NONE,0.0,FULL,0.0,0.3950880969883238,0.5556693449357226,0.5556693449357226,0.0,99.44433065506428,,,,
56,standard,2.0,0.01,0.05,0.35,100.0,85.0,NONE,0.0,FULL,0.0,0.3951319244109514,0.5556693449357226,0.5556693449357226,0.0,99.44433065506428,,,,
57,standard,2.0,0.01,0.05,0.35,105.0,60.0,NONE,0.0,FULL,0.0,0.3792635277832674,0.7707160459952433,0.7707160459952433,0.0,99.22928395400476,,,,
58,standard,2.0,0.01,0.05,0.35,105.0,68.333333,NONE,0.0,FULL,0.0,0.4405802039339874,0.7707160459952433,0.7707160459952433,0.0,99.22928395400476,,,,
59,standard,2.0,0.01,0.05,0.35,105.0,76.666667,NONE,0.0,FULL,0.0,0.454707503394864,0.7707160459952433,0.7707160459952433,0.0,99.22928395400476,,,,
60,standard,2.0,0.01,0.05,0.35,105.0,85.0,NONE,0.0,FULL,0.0,0.4552700119181186,0.7707160459952433,0.7707160459952433,0.0,99.22928395400476,,,,
61,standard,2.0,0.01,0.05,0.35,110.0,60.0,NONE,0.0,FULL,0.0,0.382950469216036,0.9774289558838234,0.9774289558838234,0.0,99.02257104411618,,,,
62,standard,2.0,0.01,0.05,0.35,110.0,68.333333,NONE,0.0,FULL,0.0,0.4710173219638894,0.9774289558838234,0.9774289558838234,0.0,99.02257104411618,,,,
63,standard,2.0,0.01,0.05,0.35,110.0,76.666667,NONE,0.0,FULL,0.0,0.5021612488663882,0.9774289558838234,0.9774289558838234,0.0,99.02257104411618,,,,
64,standard,2.0,0.01,0.05,0.35,110.0,85.0,NONE,0.0,FULL,0.0,0.5052798804695438,0.9774289558838234,0.9774289558838234,0.0,99.02257104411618,,,,
